ranking,features
"(1, 0)",afvi_median
"(1, 2)",afvi_median_wet
"(1, 3)",avi_median
"(1, 4)",avi_median_dry
"(6, 6)",awei_median
"(1, 7)",awei_median_dry
"(1, 9)",blue_median
"(1, 10)",blue_median_dry
"(10, 13)",brba_median
"(1, 17)",brightness_median_dry
"(3, 21)",bsi_median_2
"(1, 22)",cvi_median
"(1, 23)",cvi_median_dry
"(16, 24)",cvi_median_wet
"(1, 25)",dswi5_median
"(5, 27)",dswi5_median_wet
"(1, 28)",evi_median
"(1, 29)",evi_median_dry
"(11, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(1, 34)",gemi_median
"(1, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(1, 37)",gli_median
"(1, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(9, 41)",green_median_dry
"(17, 43)",green_stdDev
"(8, 44)",gvmi_median
"(1, 46)",gvmi_median_wet
"(1, 47)",hillshade
"(1, 48)",iia_median
"(1, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(7, 53)",lswi_median_wet
"(18, 55)",mbi_median_dry
"(1, 57)",nddi_median
"(15, 61)",ndvi_median_dry
"(1, 62)",ndvi_median_wet
"(1, 63)",ndwi_median
"(1, 68)",nir_median_dry
"(4, 69)",nir_median_dry_contrast
"(2, 72)",osavi_median
"(1, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(14, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(1, 78)",red_median
"(1, 80)",red_median_dry
"(1, 81)",red_median_dry_contrast
"(20, 83)",red_stdDev
"(1, 84)",ri_median
"(1, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(1, 87)",rvi_median
"(1, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(1, 90)",shape_median
"(13, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(1, 93)",solpe
"(1, 94)",swir1_median
"(12, 95)",swir1_median_dry
"(1, 98)",swir2_median
"(1, 99)",swir2_median_dry
"(1, 102)",ui_median
"(19, 106)",wetness_median_dry
