ranking,features
"(51, 0)",afvi_median
"(36, 1)",afvi_median_dry
"(7, 2)",afvi_median_wet
"(26, 3)",avi_median
"(33, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(52, 7)",awei_median_dry
"(15, 8)",awei_median_wet
"(32, 11)",blue_median_wet
"(30, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(50, 22)",cvi_median
"(2, 24)",cvi_median_wet
"(38, 27)",dswi5_median_wet
"(1, 28)",evi_median
"(18, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(34, 31)",gcvi_median
"(6, 32)",gcvi_median_dry
"(31, 33)",gcvi_median_wet
"(23, 34)",gemi_median
"(53, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(1, 38)",gli_median_dry
"(8, 39)",gli_median_wet
"(48, 40)",green_median
"(35, 41)",green_median_dry
"(11, 43)",green_stdDev
"(19, 45)",gvmi_median_dry
"(22, 46)",gvmi_median_wet
"(13, 48)",iia_median
"(49, 49)",iia_median_dry
"(43, 50)",iia_median_wet
"(45, 53)",lswi_median_wet
"(44, 54)",mbi_median
"(17, 56)",mbi_median_wet
"(4, 61)",ndvi_median_dry
"(21, 62)",ndvi_median_wet
"(5, 65)",ndwi_median_wet
"(24, 66)",nir_median
"(55, 69)",nir_median_dry_contrast
"(28, 70)",nir_median_wet
"(40, 71)",nir_stdDev
"(1, 72)",osavi_median
"(29, 73)",osavi_median_dry
"(25, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(1, 76)",ratio_median_dry
"(27, 78)",red_median
"(37, 83)",red_stdDev
"(47, 84)",ri_median
"(3, 85)",ri_median_dry
"(39, 86)",ri_median_wet
"(12, 88)",rvi_median_1
"(41, 89)",rvi_median_wet
"(54, 90)",shape_median
"(9, 91)",shape_median_dry
"(14, 92)",shape_median_wet
"(10, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(42, 98)",swir2_median
"(46, 99)",swir2_median_dry
"(1, 101)",swir2_stdDev
"(1, 104)",ui_median_wet
"(16, 105)",wetness_median
"(20, 106)",wetness_median_dry
