ranking,features
"(14, 0)",afvi_median
"(55, 2)",afvi_median_wet
"(19, 4)",avi_median_dry
"(44, 6)",awei_median
"(24, 7)",awei_median_dry
"(27, 8)",awei_median_wet
"(28, 12)",blue_stdDev
"(49, 14)",brba_median_dry
"(13, 15)",brba_median_wet
"(57, 16)",brightness_median
"(18, 17)",brightness_median_dry
"(62, 18)",brightness_median_wet
"(1, 19)",bsi_median
"(5, 20)",bsi_median_1
"(45, 21)",bsi_median_2
"(32, 22)",cvi_median
"(15, 28)",evi_median
"(7, 30)",evi_median_wet
"(16, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(1, 33)",gcvi_median_wet
"(1, 35)",gemi_median_dry
"(48, 36)",gemi_median_wet
"(42, 37)",gli_median
"(9, 39)",gli_median_wet
"(29, 41)",green_median_dry
"(53, 42)",green_median_wet
"(38, 43)",green_stdDev
"(41, 46)",gvmi_median_wet
"(56, 47)",hillshade
"(6, 48)",iia_median
"(1, 49)",iia_median_dry
"(22, 50)",iia_median_wet
"(51, 54)",mbi_median
"(61, 56)",mbi_median_wet
"(33, 58)",nddi_median_dry
"(50, 61)",ndvi_median_dry
"(39, 63)",ndwi_median
"(30, 65)",ndwi_median_wet
"(60, 66)",nir_median
"(11, 67)",nir_median_contrast
"(8, 68)",nir_median_dry
"(23, 71)",nir_stdDev
"(10, 72)",osavi_median
"(26, 74)",osavi_median_wet
"(36, 75)",ratio_median
"(37, 77)",ratio_median_wet
"(40, 79)",red_median_contrast
"(25, 80)",red_median_dry
"(3, 81)",red_median_dry_contrast
"(4, 82)",red_median_wet
"(1, 83)",red_stdDev
"(12, 84)",ri_median
"(34, 85)",ri_median_dry
"(58, 86)",ri_median_wet
"(54, 89)",rvi_median_wet
"(31, 90)",shape_median
"(1, 92)",shape_median_wet
"(52, 93)",solpe
"(20, 94)",swir1_median
"(46, 95)",swir1_median_dry
"(21, 97)",swir1_stdDev
"(17, 98)",swir2_median
"(35, 101)",swir2_stdDev
"(47, 102)",ui_median
"(59, 104)",ui_median_wet
"(2, 106)",wetness_median_dry
"(43, 107)",wetness_median_wet
