ranking,features
"(54, 1)",afvi_median_dry
"(1, 2)",afvi_median_wet
"(35, 3)",avi_median
"(1, 5)",avi_median_wet
"(52, 7)",awei_median_dry
"(58, 9)",blue_median
"(48, 10)",blue_median_dry
"(56, 11)",blue_median_wet
"(29, 17)",brightness_median_dry
"(2, 24)",cvi_median_wet
"(27, 27)",dswi5_median_wet
"(4, 28)",evi_median
"(28, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(26, 31)",gcvi_median
"(38, 32)",gcvi_median_dry
"(50, 33)",gcvi_median_wet
"(46, 34)",gemi_median
"(12, 36)",gemi_median_wet
"(25, 38)",gli_median_dry
"(18, 39)",gli_median_wet
"(36, 40)",green_median
"(39, 41)",green_median_dry
"(45, 43)",green_stdDev
"(9, 45)",gvmi_median_dry
"(47, 46)",gvmi_median_wet
"(6, 49)",iia_median_dry
"(60, 51)",lswi_median
"(37, 56)",mbi_median_wet
"(44, 58)",nddi_median_dry
"(59, 59)",nddi_median_wet
"(1, 61)",ndvi_median_dry
"(22, 62)",ndvi_median_wet
"(51, 63)",ndwi_median
"(41, 64)",ndwi_median_dry
"(10, 65)",ndwi_median_wet
"(30, 66)",nir_median
"(62, 69)",nir_median_dry_contrast
"(23, 70)",nir_median_wet
"(55, 71)",nir_stdDev
"(14, 72)",osavi_median
"(20, 73)",osavi_median_dry
"(43, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(5, 76)",ratio_median_dry
"(31, 77)",ratio_median_wet
"(24, 78)",red_median
"(17, 83)",red_stdDev
"(34, 84)",ri_median
"(8, 85)",ri_median_dry
"(42, 86)",ri_median_wet
"(57, 87)",rvi_median
"(16, 88)",rvi_median_1
"(40, 89)",rvi_median_wet
"(33, 91)",shape_median_dry
"(7, 92)",shape_median_wet
"(49, 93)",solpe
"(3, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(11, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(53, 98)",swir2_median
"(32, 99)",swir2_median_dry
"(19, 101)",swir2_stdDev
"(15, 103)",ui_median_dry
"(21, 104)",ui_median_wet
"(13, 106)",wetness_median_dry
"(61, 107)",wetness_median_wet
