ranking,features
"(1, 0)",afvi_median
"(1, 2)",afvi_median_wet
"(15, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(1, 6)",awei_median
"(1, 7)",awei_median_dry
"(1, 8)",awei_median_wet
"(1, 9)",blue_median
"(1, 12)",blue_stdDev
"(1, 14)",brba_median_dry
"(7, 17)",brightness_median_dry
"(13, 18)",brightness_median_wet
"(1, 19)",bsi_median
"(1, 20)",bsi_median_1
"(17, 21)",bsi_median_2
"(1, 24)",cvi_median_wet
"(1, 25)",dswi5_median
"(16, 26)",dswi5_median_dry
"(1, 27)",dswi5_median_wet
"(1, 28)",evi_median
"(1, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(12, 33)",gcvi_median_wet
"(11, 34)",gemi_median
"(1, 35)",gemi_median_dry
"(19, 38)",gli_median_dry
"(1, 40)",green_median
"(2, 42)",green_median_wet
"(1, 43)",green_stdDev
"(1, 44)",gvmi_median
"(1, 46)",gvmi_median_wet
"(1, 48)",iia_median
"(1, 49)",iia_median_dry
"(1, 51)",lswi_median
"(4, 52)",lswi_median_dry
"(1, 54)",mbi_median
"(6, 55)",mbi_median_dry
"(3, 57)",nddi_median
"(8, 58)",nddi_median_dry
"(1, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(1, 61)",ndvi_median_dry
"(1, 63)",ndwi_median
"(9, 64)",ndwi_median_dry
"(1, 65)",ndwi_median_wet
"(18, 67)",nir_median_contrast
"(5, 68)",nir_median_dry
"(10, 69)",nir_median_dry_contrast
"(1, 71)",nir_stdDev
"(1, 72)",osavi_median
"(1, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 77)",ratio_median_wet
"(1, 78)",red_median
"(1, 83)",red_stdDev
"(1, 84)",ri_median
"(1, 87)",rvi_median
"(1, 88)",rvi_median_1
"(1, 90)",shape_median
"(14, 91)",shape_median_dry
"(1, 93)",solpe
"(1, 94)",swir1_median
"(1, 96)",swir1_median_wet
"(1, 98)",swir2_median
"(1, 100)",swir2_median_wet
"(1, 101)",swir2_stdDev
"(1, 102)",ui_median
"(1, 105)",wetness_median
