ranking,features
"(29, 2)",afvi_median_wet
"(42, 4)",avi_median_dry
"(40, 5)",avi_median_wet
"(1, 7)",awei_median_dry
"(2, 8)",awei_median_wet
"(5, 9)",blue_median
"(10, 11)",blue_median_wet
"(1, 12)",blue_stdDev
"(18, 14)",brba_median_dry
"(30, 15)",brba_median_wet
"(41, 16)",brightness_median
"(27, 17)",brightness_median_dry
"(1, 18)",brightness_median_wet
"(47, 19)",bsi_median
"(23, 24)",cvi_median_wet
"(6, 25)",dswi5_median
"(28, 26)",dswi5_median_dry
"(49, 27)",dswi5_median_wet
"(45, 28)",evi_median
"(13, 29)",evi_median_dry
"(20, 30)",evi_median_wet
"(39, 31)",gcvi_median
"(1, 33)",gcvi_median_wet
"(21, 37)",gli_median
"(1, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(16, 41)",green_median_dry
"(11, 42)",green_median_wet
"(31, 43)",green_stdDev
"(1, 45)",gvmi_median_dry
"(52, 48)",iia_median
"(1, 50)",iia_median_wet
"(38, 55)",mbi_median_dry
"(26, 59)",nddi_median_wet
"(44, 60)",ndvi_median
"(7, 61)",ndvi_median_dry
"(15, 62)",ndvi_median_wet
"(37, 65)",ndwi_median_wet
"(36, 70)",nir_median_wet
"(54, 72)",osavi_median
"(1, 73)",osavi_median_dry
"(25, 74)",osavi_median_wet
"(34, 75)",ratio_median
"(48, 76)",ratio_median_dry
"(9, 77)",ratio_median_wet
"(50, 79)",red_median_contrast
"(35, 80)",red_median_dry
"(17, 81)",red_median_dry_contrast
"(3, 82)",red_median_wet
"(1, 83)",red_stdDev
"(43, 84)",ri_median
"(46, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(1, 88)",rvi_median_1
"(8, 89)",rvi_median_wet
"(1, 90)",shape_median
"(1, 91)",shape_median_dry
"(24, 92)",shape_median_wet
"(51, 94)",swir1_median
"(22, 95)",swir1_median_dry
"(14, 96)",swir1_median_wet
"(33, 98)",swir2_median
"(53, 99)",swir2_median_dry
"(32, 100)",swir2_median_wet
"(4, 101)",swir2_stdDev
"(1, 105)",wetness_median
"(19, 106)",wetness_median_dry
"(12, 107)",wetness_median_wet
