ranking,features
"(43, 2)",afvi_median_wet
"(59, 3)",avi_median
"(36, 4)",avi_median_dry
"(45, 5)",avi_median_wet
"(41, 6)",awei_median
"(13, 7)",awei_median_dry
"(25, 8)",awei_median_wet
"(19, 9)",blue_median
"(51, 11)",blue_median_wet
"(1, 12)",blue_stdDev
"(42, 15)",brba_median_wet
"(24, 16)",brightness_median
"(14, 17)",brightness_median_dry
"(9, 18)",brightness_median_wet
"(30, 22)",cvi_median
"(21, 24)",cvi_median_wet
"(4, 25)",dswi5_median
"(1, 26)",dswi5_median_dry
"(20, 27)",dswi5_median_wet
"(3, 28)",evi_median
"(18, 29)",evi_median_dry
"(1, 33)",gcvi_median_wet
"(55, 35)",gemi_median_dry
"(56, 36)",gemi_median_wet
"(34, 37)",gli_median
"(10, 38)",gli_median_dry
"(2, 39)",gli_median_wet
"(50, 41)",green_median_dry
"(54, 42)",green_median_wet
"(22, 43)",green_stdDev
"(33, 45)",gvmi_median_dry
"(53, 46)",gvmi_median_wet
"(49, 48)",iia_median
"(1, 50)",iia_median_wet
"(40, 52)",lswi_median_dry
"(32, 53)",lswi_median_wet
"(17, 54)",mbi_median
"(12, 55)",mbi_median_dry
"(29, 56)",mbi_median_wet
"(61, 59)",nddi_median_wet
"(57, 60)",ndvi_median
"(31, 61)",ndvi_median_dry
"(8, 62)",ndvi_median_wet
"(58, 65)",ndwi_median_wet
"(39, 73)",osavi_median_dry
"(16, 74)",osavi_median_wet
"(48, 75)",ratio_median
"(27, 76)",ratio_median_dry
"(6, 77)",ratio_median_wet
"(26, 78)",red_median
"(5, 80)",red_median_dry
"(62, 81)",red_median_dry_contrast
"(28, 82)",red_median_wet
"(15, 83)",red_stdDev
"(23, 84)",ri_median
"(1, 86)",ri_median_wet
"(60, 88)",rvi_median_1
"(37, 89)",rvi_median_wet
"(1, 90)",shape_median
"(7, 91)",shape_median_dry
"(35, 92)",shape_median_wet
"(11, 95)",swir1_median_dry
"(44, 97)",swir1_stdDev
"(47, 100)",swir2_median_wet
"(52, 101)",swir2_stdDev
"(1, 105)",wetness_median
"(38, 106)",wetness_median_dry
"(46, 107)",wetness_median_wet
