ranking,features
"(1, 0)",afvi_median
"(1, 1)",afvi_median_dry
"(14, 2)",afvi_median_wet
"(1, 3)",avi_median
"(1, 4)",avi_median_dry
"(1, 6)",awei_median
"(11, 8)",awei_median_wet
"(24, 10)",blue_median_dry
"(30, 13)",brba_median
"(1, 14)",brba_median_dry
"(1, 16)",brightness_median
"(26, 17)",brightness_median_dry
"(25, 19)",bsi_median
"(13, 20)",bsi_median_1
"(32, 22)",cvi_median
"(17, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(1, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(1, 32)",gcvi_median_dry
"(21, 33)",gcvi_median_wet
"(18, 34)",gemi_median
"(1, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(8, 40)",green_median
"(1, 41)",green_median_dry
"(9, 42)",green_median_wet
"(1, 47)",hillshade
"(19, 48)",iia_median
"(27, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(1, 54)",mbi_median
"(6, 56)",mbi_median_wet
"(1, 57)",nddi_median
"(1, 58)",nddi_median_dry
"(1, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(20, 61)",ndvi_median_dry
"(5, 63)",ndwi_median
"(1, 66)",nir_median
"(4, 68)",nir_median_dry
"(23, 69)",nir_median_dry_contrast
"(1, 71)",nir_stdDev
"(1, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(29, 76)",ratio_median_dry
"(1, 78)",red_median
"(1, 79)",red_median_contrast
"(1, 80)",red_median_dry
"(12, 82)",red_median_wet
"(1, 83)",red_stdDev
"(1, 85)",ri_median_dry
"(31, 86)",ri_median_wet
"(10, 87)",rvi_median
"(22, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(1, 93)",solpe
"(28, 94)",swir1_median
"(1, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(2, 98)",swir2_median
"(15, 99)",swir2_median_dry
"(3, 100)",swir2_median_wet
"(7, 101)",swir2_stdDev
"(16, 102)",ui_median
"(1, 105)",wetness_median
"(1, 106)",wetness_median_dry
