ranking,features
"(4, 0)",afvi_median
"(48, 1)",afvi_median_dry
"(1, 2)",afvi_median_wet
"(50, 3)",avi_median
"(21, 6)",awei_median
"(1, 8)",awei_median_wet
"(51, 9)",blue_median
"(30, 12)",blue_stdDev
"(3, 13)",brba_median
"(8, 14)",brba_median_dry
"(36, 16)",brightness_median
"(35, 18)",brightness_median_wet
"(38, 19)",bsi_median
"(49, 20)",bsi_median_1
"(24, 21)",bsi_median_2
"(52, 22)",cvi_median
"(53, 25)",dswi5_median
"(40, 27)",dswi5_median_wet
"(41, 28)",evi_median
"(34, 30)",evi_median_wet
"(22, 31)",gcvi_median
"(28, 32)",gcvi_median_dry
"(57, 33)",gcvi_median_wet
"(31, 36)",gemi_median_wet
"(33, 40)",green_median
"(14, 43)",green_stdDev
"(25, 44)",gvmi_median
"(46, 45)",gvmi_median_dry
"(5, 46)",gvmi_median_wet
"(27, 48)",iia_median
"(61, 49)",iia_median_dry
"(59, 50)",iia_median_wet
"(42, 51)",lswi_median
"(23, 53)",lswi_median_wet
"(13, 56)",mbi_median_wet
"(19, 57)",nddi_median
"(58, 58)",nddi_median_dry
"(10, 59)",nddi_median_wet
"(20, 60)",ndvi_median
"(12, 63)",ndwi_median
"(1, 65)",ndwi_median_wet
"(1, 71)",nir_stdDev
"(18, 72)",osavi_median
"(9, 73)",osavi_median_dry
"(29, 74)",osavi_median_wet
"(11, 75)",ratio_median
"(47, 76)",ratio_median_dry
"(45, 77)",ratio_median_wet
"(2, 78)",red_median
"(32, 82)",red_median_wet
"(37, 84)",ri_median
"(39, 85)",ri_median_dry
"(44, 86)",ri_median_wet
"(1, 87)",rvi_median
"(17, 90)",shape_median
"(55, 91)",shape_median_dry
"(1, 94)",swir1_median
"(56, 95)",swir1_median_dry
"(16, 96)",swir1_median_wet
"(15, 98)",swir2_median
"(43, 99)",swir2_median_dry
"(6, 100)",swir2_median_wet
"(54, 101)",swir2_stdDev
"(7, 102)",ui_median
"(60, 103)",ui_median_dry
"(1, 104)",ui_median_wet
"(1, 105)",wetness_median
"(26, 107)",wetness_median_wet
