ranking,features
"(1, 3)",avi_median
"(2, 4)",avi_median_dry
"(62, 6)",awei_median
"(49, 7)",awei_median_dry
"(11, 8)",awei_median_wet
"(27, 11)",blue_median_wet
"(13, 12)",blue_stdDev
"(33, 16)",brightness_median
"(32, 19)",bsi_median
"(1, 22)",cvi_median
"(31, 23)",cvi_median_dry
"(4, 24)",cvi_median_wet
"(43, 25)",dswi5_median
"(53, 26)",dswi5_median_dry
"(5, 27)",dswi5_median_wet
"(38, 28)",evi_median
"(21, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(17, 31)",gcvi_median
"(15, 32)",gcvi_median_dry
"(61, 33)",gcvi_median_wet
"(10, 34)",gemi_median
"(39, 35)",gemi_median_dry
"(6, 36)",gemi_median_wet
"(52, 37)",gli_median
"(36, 38)",gli_median_dry
"(47, 39)",gli_median_wet
"(45, 41)",green_median_dry
"(28, 43)",green_stdDev
"(3, 44)",gvmi_median
"(1, 45)",gvmi_median_dry
"(24, 46)",gvmi_median_wet
"(60, 47)",hillshade
"(9, 49)",iia_median_dry
"(40, 50)",iia_median_wet
"(50, 52)",lswi_median_dry
"(46, 53)",lswi_median_wet
"(54, 55)",mbi_median_dry
"(12, 59)",nddi_median_wet
"(22, 61)",ndvi_median_dry
"(16, 62)",ndvi_median_wet
"(19, 68)",nir_median_dry
"(35, 70)",nir_median_wet
"(20, 71)",nir_stdDev
"(48, 74)",osavi_median_wet
"(59, 75)",ratio_median
"(23, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(57, 78)",red_median
"(18, 80)",red_median_dry
"(37, 83)",red_stdDev
"(7, 85)",ri_median_dry
"(44, 86)",ri_median_wet
"(41, 87)",rvi_median
"(56, 88)",rvi_median_1
"(8, 89)",rvi_median_wet
"(26, 90)",shape_median
"(25, 91)",shape_median_dry
"(14, 92)",shape_median_wet
"(51, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(34, 97)",swir1_stdDev
"(30, 102)",ui_median
"(55, 104)",ui_median_wet
"(29, 105)",wetness_median
"(58, 106)",wetness_median_dry
"(42, 107)",wetness_median_wet
