ranking,features
"(38, 2)",afvi_median_wet
"(25, 3)",avi_median
"(1, 4)",avi_median_dry
"(42, 5)",avi_median_wet
"(36, 6)",awei_median
"(54, 10)",blue_median_dry
"(61, 11)",blue_median_wet
"(56, 12)",blue_stdDev
"(8, 16)",brightness_median
"(6, 17)",brightness_median_dry
"(60, 22)",cvi_median
"(28, 24)",cvi_median_wet
"(21, 25)",dswi5_median
"(40, 27)",dswi5_median_wet
"(2, 28)",evi_median
"(32, 29)",evi_median_dry
"(23, 30)",evi_median_wet
"(45, 31)",gcvi_median
"(34, 32)",gcvi_median_dry
"(5, 33)",gcvi_median_wet
"(1, 34)",gemi_median
"(13, 35)",gemi_median_dry
"(35, 36)",gemi_median_wet
"(29, 37)",gli_median
"(1, 38)",gli_median_dry
"(55, 39)",gli_median_wet
"(26, 40)",green_median
"(44, 41)",green_median_dry
"(51, 42)",green_median_wet
"(1, 43)",green_stdDev
"(24, 44)",gvmi_median
"(58, 45)",gvmi_median_dry
"(31, 46)",gvmi_median_wet
"(47, 47)",hillshade
"(33, 48)",iia_median
"(43, 49)",iia_median_dry
"(12, 50)",iia_median_wet
"(59, 51)",lswi_median
"(53, 56)",mbi_median_wet
"(1, 61)",ndvi_median_dry
"(62, 62)",ndvi_median_wet
"(1, 66)",nir_median
"(3, 68)",nir_median_dry
"(15, 70)",nir_median_wet
"(39, 71)",nir_stdDev
"(22, 72)",osavi_median
"(7, 73)",osavi_median_dry
"(9, 74)",osavi_median_wet
"(14, 76)",ratio_median_dry
"(16, 77)",ratio_median_wet
"(52, 79)",red_median_contrast
"(50, 80)",red_median_dry
"(57, 82)",red_median_wet
"(48, 83)",red_stdDev
"(49, 84)",ri_median
"(37, 85)",ri_median_dry
"(30, 87)",rvi_median
"(1, 88)",rvi_median_1
"(17, 90)",shape_median
"(11, 91)",shape_median_dry
"(41, 93)",solpe
"(20, 95)",swir1_median_dry
"(46, 96)",swir1_median_wet
"(18, 97)",swir1_stdDev
"(10, 100)",swir2_median_wet
"(4, 101)",swir2_stdDev
"(19, 105)",wetness_median
"(27, 107)",wetness_median_wet
