ranking,features
"(11, 1)",afvi_median_dry
"(17, 2)",afvi_median_wet
"(33, 3)",avi_median
"(1, 4)",avi_median_dry
"(6, 6)",awei_median
"(42, 7)",awei_median_dry
"(29, 8)",awei_median_wet
"(1, 9)",blue_median
"(13, 10)",blue_median_dry
"(31, 14)",brba_median_dry
"(4, 17)",brightness_median_dry
"(46, 20)",bsi_median_1
"(37, 23)",cvi_median_dry
"(44, 25)",dswi5_median
"(1, 27)",dswi5_median_wet
"(12, 29)",evi_median_dry
"(5, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(47, 37)",gli_median
"(24, 38)",gli_median_dry
"(3, 39)",gli_median_wet
"(21, 40)",green_median
"(34, 42)",green_median_wet
"(1, 43)",green_stdDev
"(30, 44)",gvmi_median
"(23, 45)",gvmi_median_dry
"(1, 46)",gvmi_median_wet
"(41, 48)",iia_median
"(7, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(45, 51)",lswi_median
"(16, 52)",lswi_median_dry
"(1, 53)",lswi_median_wet
"(1, 56)",mbi_median_wet
"(39, 57)",nddi_median
"(1, 58)",nddi_median_dry
"(32, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(1, 62)",ndvi_median_wet
"(14, 64)",ndwi_median_dry
"(1, 65)",ndwi_median_wet
"(38, 66)",nir_median
"(1, 68)",nir_median_dry
"(28, 71)",nir_stdDev
"(27, 75)",ratio_median
"(10, 77)",ratio_median_wet
"(1, 78)",red_median
"(22, 80)",red_median_dry
"(20, 81)",red_median_dry_contrast
"(43, 82)",red_median_wet
"(1, 83)",red_stdDev
"(1, 84)",ri_median
"(36, 85)",ri_median_dry
"(19, 86)",ri_median_wet
"(18, 89)",rvi_median_wet
"(8, 92)",shape_median_wet
"(25, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(9, 96)",swir1_median_wet
"(2, 98)",swir2_median
"(1, 99)",swir2_median_dry
"(15, 100)",swir2_median_wet
"(40, 102)",ui_median
"(35, 103)",ui_median_dry
"(26, 104)",ui_median_wet
"(1, 105)",wetness_median
"(1, 106)",wetness_median_dry
