ranking,features
"(56, 0)",afvi_median
"(15, 2)",afvi_median_wet
"(41, 3)",avi_median
"(3, 5)",avi_median_wet
"(53, 9)",blue_median
"(55, 10)",blue_median_dry
"(29, 11)",blue_median_wet
"(17, 12)",blue_stdDev
"(60, 13)",brba_median
"(49, 15)",brba_median_wet
"(39, 16)",brightness_median
"(38, 17)",brightness_median_dry
"(58, 18)",brightness_median_wet
"(50, 19)",bsi_median
"(51, 22)",cvi_median
"(16, 23)",cvi_median_dry
"(24, 24)",cvi_median_wet
"(59, 26)",dswi5_median_dry
"(23, 27)",dswi5_median_wet
"(54, 28)",evi_median
"(13, 29)",evi_median_dry
"(20, 30)",evi_median_wet
"(8, 31)",gcvi_median
"(1, 33)",gcvi_median_wet
"(1, 34)",gemi_median
"(34, 35)",gemi_median_dry
"(1, 38)",gli_median_dry
"(33, 39)",gli_median_wet
"(36, 46)",gvmi_median_wet
"(19, 47)",hillshade
"(11, 48)",iia_median
"(6, 50)",iia_median_wet
"(44, 54)",mbi_median
"(32, 55)",mbi_median_dry
"(61, 56)",mbi_median_wet
"(57, 58)",nddi_median_dry
"(40, 59)",nddi_median_wet
"(35, 60)",ndvi_median
"(27, 62)",ndvi_median_wet
"(62, 64)",ndwi_median_dry
"(18, 65)",ndwi_median_wet
"(9, 66)",nir_median
"(48, 68)",nir_median_dry
"(25, 72)",osavi_median
"(47, 73)",osavi_median_dry
"(46, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(10, 76)",ratio_median_dry
"(43, 78)",red_median
"(26, 80)",red_median_dry
"(1, 83)",red_stdDev
"(37, 84)",ri_median
"(2, 86)",ri_median_wet
"(1, 87)",rvi_median
"(30, 88)",rvi_median_1
"(22, 89)",rvi_median_wet
"(31, 90)",shape_median
"(1, 91)",shape_median_dry
"(14, 92)",shape_median_wet
"(7, 93)",solpe
"(12, 94)",swir1_median
"(5, 95)",swir1_median_dry
"(4, 96)",swir1_median_wet
"(28, 97)",swir1_stdDev
"(42, 101)",swir2_stdDev
"(52, 104)",ui_median_wet
"(45, 105)",wetness_median
"(21, 106)",wetness_median_dry
