ranking,features
"(1, 0)",afvi_median
"(25, 1)",afvi_median_dry
"(7, 2)",afvi_median_wet
"(42, 5)",avi_median_wet
"(1, 6)",awei_median
"(1, 8)",awei_median_wet
"(16, 9)",blue_median
"(3, 11)",blue_median_wet
"(32, 13)",brba_median
"(15, 14)",brba_median_dry
"(5, 16)",brightness_median
"(31, 17)",brightness_median_dry
"(17, 18)",brightness_median_wet
"(36, 19)",bsi_median
"(40, 27)",dswi5_median_wet
"(44, 30)",evi_median_wet
"(2, 33)",gcvi_median_wet
"(23, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(37, 37)",gli_median
"(50, 38)",gli_median_dry
"(1, 40)",green_median
"(1, 41)",green_median_dry
"(1, 42)",green_median_wet
"(8, 44)",gvmi_median
"(1, 46)",gvmi_median_wet
"(35, 49)",iia_median_dry
"(24, 50)",iia_median_wet
"(41, 52)",lswi_median_dry
"(38, 53)",lswi_median_wet
"(43, 54)",mbi_median
"(34, 55)",mbi_median_dry
"(1, 57)",nddi_median
"(1, 59)",nddi_median_wet
"(28, 60)",ndvi_median
"(30, 61)",ndvi_median_dry
"(11, 62)",ndvi_median_wet
"(39, 63)",ndwi_median
"(20, 65)",ndwi_median_wet
"(45, 66)",nir_median
"(9, 68)",nir_median_dry
"(1, 69)",nir_median_dry_contrast
"(1, 70)",nir_median_wet
"(33, 71)",nir_stdDev
"(48, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(12, 76)",ratio_median_dry
"(49, 77)",ratio_median_wet
"(1, 78)",red_median
"(1, 79)",red_median_contrast
"(1, 80)",red_median_dry
"(13, 82)",red_median_wet
"(47, 83)",red_stdDev
"(1, 86)",ri_median_wet
"(27, 87)",rvi_median
"(1, 89)",rvi_median_wet
"(10, 90)",shape_median
"(29, 91)",shape_median_dry
"(26, 93)",solpe
"(18, 94)",swir1_median
"(21, 95)",swir1_median_dry
"(4, 96)",swir1_median_wet
"(19, 97)",swir1_stdDev
"(22, 98)",swir2_median
"(1, 100)",swir2_median_wet
"(6, 102)",ui_median
"(46, 104)",ui_median_wet
"(14, 105)",wetness_median
