ranking,features
"(58, 0)",afvi_median
"(17, 2)",afvi_median_wet
"(55, 3)",avi_median
"(22, 4)",avi_median_dry
"(62, 6)",awei_median
"(1, 7)",awei_median_dry
"(5, 8)",awei_median_wet
"(13, 9)",blue_median
"(20, 10)",blue_median_dry
"(12, 11)",blue_median_wet
"(42, 13)",brba_median
"(30, 14)",brba_median_dry
"(24, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(28, 19)",bsi_median
"(38, 21)",bsi_median_2
"(21, 22)",cvi_median
"(50, 26)",dswi5_median_dry
"(19, 27)",dswi5_median_wet
"(25, 28)",evi_median
"(1, 31)",gcvi_median
"(45, 33)",gcvi_median_wet
"(51, 35)",gemi_median_dry
"(54, 37)",gli_median
"(33, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(35, 40)",green_median
"(49, 41)",green_median_dry
"(9, 42)",green_median_wet
"(53, 45)",gvmi_median_dry
"(47, 46)",gvmi_median_wet
"(1, 48)",iia_median
"(43, 50)",iia_median_wet
"(59, 51)",lswi_median
"(41, 52)",lswi_median_dry
"(44, 55)",mbi_median_dry
"(8, 56)",mbi_median_wet
"(39, 58)",nddi_median_dry
"(6, 59)",nddi_median_wet
"(57, 62)",ndvi_median_wet
"(27, 63)",ndwi_median
"(7, 64)",ndwi_median_dry
"(15, 65)",ndwi_median_wet
"(46, 68)",nir_median_dry
"(56, 71)",nir_stdDev
"(26, 76)",ratio_median_dry
"(36, 77)",ratio_median_wet
"(40, 78)",red_median
"(11, 80)",red_median_dry
"(18, 82)",red_median_wet
"(4, 84)",ri_median
"(23, 88)",rvi_median_1
"(34, 89)",rvi_median_wet
"(37, 90)",shape_median
"(60, 91)",shape_median_dry
"(14, 93)",solpe
"(32, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(3, 96)",swir1_median_wet
"(31, 97)",swir1_stdDev
"(61, 98)",swir2_median
"(10, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(52, 103)",ui_median_dry
"(2, 104)",ui_median_wet
"(48, 105)",wetness_median
"(29, 106)",wetness_median_dry
"(16, 107)",wetness_median_wet
