ranking,features
"(14, 2)",afvi_median_wet
"(1, 3)",avi_median
"(6, 4)",avi_median_dry
"(20, 5)",avi_median_wet
"(49, 6)",awei_median
"(1, 7)",awei_median_dry
"(1, 8)",awei_median_wet
"(15, 9)",blue_median
"(1, 10)",blue_median_dry
"(8, 12)",blue_stdDev
"(34, 13)",brba_median
"(32, 17)",brightness_median_dry
"(4, 22)",cvi_median
"(1, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(50, 25)",dswi5_median
"(1, 28)",evi_median
"(21, 29)",evi_median_dry
"(26, 30)",evi_median_wet
"(22, 31)",gcvi_median
"(9, 32)",gcvi_median_dry
"(10, 33)",gcvi_median_wet
"(45, 34)",gemi_median
"(41, 36)",gemi_median_wet
"(12, 37)",gli_median
"(1, 38)",gli_median_dry
"(30, 39)",gli_median_wet
"(35, 40)",green_median
"(46, 41)",green_median_dry
"(38, 42)",green_median_wet
"(2, 43)",green_stdDev
"(43, 46)",gvmi_median_wet
"(27, 47)",hillshade
"(39, 48)",iia_median
"(11, 49)",iia_median_dry
"(44, 50)",iia_median_wet
"(29, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(1, 61)",ndvi_median_dry
"(7, 62)",ndvi_median_wet
"(25, 70)",nir_median_wet
"(31, 72)",osavi_median
"(1, 73)",osavi_median_dry
"(17, 74)",osavi_median_wet
"(1, 76)",ratio_median_dry
"(3, 77)",ratio_median_wet
"(16, 83)",red_stdDev
"(28, 84)",ri_median
"(5, 85)",ri_median_dry
"(48, 86)",ri_median_wet
"(42, 87)",rvi_median
"(13, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(1, 90)",shape_median
"(1, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(23, 93)",solpe
"(1, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(36, 96)",swir1_median_wet
"(33, 97)",swir1_stdDev
"(1, 98)",swir2_median
"(24, 99)",swir2_median_dry
"(37, 100)",swir2_median_wet
"(18, 104)",ui_median_wet
"(47, 105)",wetness_median
"(19, 106)",wetness_median_dry
"(40, 107)",wetness_median_wet
