ranking,features
"(25, 0)",afvi_median
"(1, 4)",avi_median_dry
"(34, 6)",awei_median
"(41, 8)",awei_median_wet
"(37, 11)",blue_median_wet
"(46, 12)",blue_stdDev
"(1, 14)",brba_median_dry
"(1, 15)",brba_median_wet
"(14, 16)",brightness_median
"(9, 18)",brightness_median_wet
"(39, 22)",cvi_median
"(26, 23)",cvi_median_dry
"(29, 25)",dswi5_median
"(2, 27)",dswi5_median_wet
"(1, 29)",evi_median_dry
"(7, 30)",evi_median_wet
"(33, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(6, 33)",gcvi_median_wet
"(24, 34)",gemi_median
"(1, 35)",gemi_median_dry
"(18, 36)",gemi_median_wet
"(1, 37)",gli_median
"(1, 39)",gli_median_wet
"(27, 40)",green_median
"(31, 41)",green_median_dry
"(23, 42)",green_median_wet
"(44, 45)",gvmi_median_dry
"(4, 46)",gvmi_median_wet
"(30, 47)",hillshade
"(1, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(42, 55)",mbi_median_dry
"(40, 57)",nddi_median
"(10, 58)",nddi_median_dry
"(1, 61)",ndvi_median_dry
"(12, 62)",ndvi_median_wet
"(28, 65)",ndwi_median_wet
"(36, 66)",nir_median
"(3, 67)",nir_median_contrast
"(1, 68)",nir_median_dry
"(1, 69)",nir_median_dry_contrast
"(21, 70)",nir_median_wet
"(17, 71)",nir_stdDev
"(20, 73)",osavi_median_dry
"(19, 74)",osavi_median_wet
"(32, 75)",ratio_median
"(15, 76)",ratio_median_dry
"(8, 77)",ratio_median_wet
"(22, 78)",red_median
"(1, 79)",red_median_contrast
"(1, 80)",red_median_dry
"(5, 81)",red_median_dry_contrast
"(35, 82)",red_median_wet
"(1, 83)",red_stdDev
"(1, 85)",ri_median_dry
"(38, 86)",ri_median_wet
"(45, 87)",rvi_median
"(1, 88)",rvi_median_1
"(1, 90)",shape_median
"(47, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(43, 96)",swir1_median_wet
"(13, 102)",ui_median
"(16, 104)",ui_median_wet
"(1, 105)",wetness_median
"(1, 106)",wetness_median_dry
"(11, 107)",wetness_median_wet
