ranking,features
"(1, 3)",avi_median
"(1, 5)",avi_median_wet
"(19, 6)",awei_median
"(23, 9)",blue_median
"(1, 10)",blue_median_dry
"(7, 11)",blue_median_wet
"(31, 12)",blue_stdDev
"(37, 16)",brightness_median
"(14, 19)",bsi_median
"(1, 20)",bsi_median_1
"(21, 22)",cvi_median
"(1, 24)",cvi_median_wet
"(1, 25)",dswi5_median
"(1, 26)",dswi5_median_dry
"(1, 27)",dswi5_median_wet
"(1, 28)",evi_median
"(1, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(1, 33)",gcvi_median_wet
"(10, 35)",gemi_median_dry
"(1, 37)",gli_median
"(1, 39)",gli_median_wet
"(32, 41)",green_median_dry
"(34, 42)",green_median_wet
"(1, 43)",green_stdDev
"(17, 44)",gvmi_median
"(30, 46)",gvmi_median_wet
"(6, 49)",iia_median_dry
"(20, 50)",iia_median_wet
"(24, 52)",lswi_median_dry
"(1, 53)",lswi_median_wet
"(15, 54)",mbi_median
"(1, 56)",mbi_median_wet
"(26, 58)",nddi_median_dry
"(1, 61)",ndvi_median_dry
"(12, 62)",ndvi_median_wet
"(1, 63)",ndwi_median
"(18, 66)",nir_median
"(1, 67)",nir_median_contrast
"(9, 68)",nir_median_dry
"(22, 69)",nir_median_dry_contrast
"(25, 70)",nir_median_wet
"(27, 71)",nir_stdDev
"(1, 72)",osavi_median
"(4, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(35, 78)",red_median
"(3, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(11, 87)",rvi_median
"(1, 88)",rvi_median_1
"(1, 90)",shape_median
"(28, 91)",shape_median_dry
"(2, 92)",shape_median_wet
"(5, 93)",solpe
"(1, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(29, 97)",swir1_stdDev
"(16, 98)",swir2_median
"(36, 99)",swir2_median_dry
"(33, 101)",swir2_stdDev
"(1, 102)",ui_median
"(1, 103)",ui_median_dry
"(8, 105)",wetness_median
"(13, 106)",wetness_median_dry
