ranking,features
"(5, 0)",afvi_median
"(3, 1)",afvi_median_dry
"(23, 2)",afvi_median_wet
"(47, 4)",avi_median_dry
"(4, 6)",awei_median
"(10, 7)",awei_median_dry
"(32, 8)",awei_median_wet
"(16, 9)",blue_median
"(24, 11)",blue_median_wet
"(29, 12)",blue_stdDev
"(20, 15)",brba_median_wet
"(36, 16)",brightness_median
"(48, 17)",brightness_median_dry
"(31, 18)",brightness_median_wet
"(62, 19)",bsi_median
"(52, 20)",bsi_median_1
"(1, 22)",cvi_median
"(49, 26)",dswi5_median_dry
"(44, 28)",evi_median
"(28, 29)",evi_median_dry
"(1, 31)",gcvi_median
"(45, 32)",gcvi_median_dry
"(51, 33)",gcvi_median_wet
"(37, 35)",gemi_median_dry
"(8, 37)",gli_median
"(1, 39)",gli_median_wet
"(21, 43)",green_stdDev
"(9, 44)",gvmi_median
"(12, 45)",gvmi_median_dry
"(43, 46)",gvmi_median_wet
"(58, 48)",iia_median
"(60, 49)",iia_median_dry
"(39, 50)",iia_median_wet
"(33, 51)",lswi_median
"(27, 52)",lswi_median_dry
"(50, 54)",mbi_median
"(13, 55)",mbi_median_dry
"(2, 57)",nddi_median
"(17, 58)",nddi_median_dry
"(1, 59)",nddi_median_wet
"(46, 60)",ndvi_median
"(22, 61)",ndvi_median_dry
"(40, 62)",ndvi_median_wet
"(14, 63)",ndwi_median
"(38, 64)",ndwi_median_dry
"(56, 65)",ndwi_median_wet
"(57, 72)",osavi_median
"(54, 73)",osavi_median_dry
"(55, 75)",ratio_median
"(59, 76)",ratio_median_dry
"(11, 78)",red_median
"(1, 80)",red_median_dry
"(41, 82)",red_median_wet
"(1, 83)",red_stdDev
"(53, 87)",rvi_median
"(30, 88)",rvi_median_1
"(25, 90)",shape_median
"(1, 94)",swir1_median
"(26, 95)",swir1_median_dry
"(34, 96)",swir1_median_wet
"(6, 98)",swir2_median
"(35, 100)",swir2_median_wet
"(61, 101)",swir2_stdDev
"(15, 102)",ui_median
"(19, 103)",ui_median_dry
"(42, 104)",ui_median_wet
"(7, 105)",wetness_median
"(18, 107)",wetness_median_wet
