ranking,features
"(38, 1)",afvi_median_dry
"(43, 2)",afvi_median_wet
"(61, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(29, 6)",awei_median
"(42, 7)",awei_median_dry
"(11, 8)",awei_median_wet
"(46, 11)",blue_median_wet
"(60, 16)",brightness_median
"(1, 24)",cvi_median_wet
"(13, 27)",dswi5_median_wet
"(16, 28)",evi_median
"(20, 29)",evi_median_dry
"(2, 30)",evi_median_wet
"(41, 31)",gcvi_median
"(10, 32)",gcvi_median_dry
"(39, 33)",gcvi_median_wet
"(14, 34)",gemi_median
"(6, 36)",gemi_median_wet
"(17, 38)",gli_median_dry
"(45, 39)",gli_median_wet
"(53, 41)",green_median_dry
"(62, 44)",gvmi_median
"(4, 46)",gvmi_median_wet
"(47, 48)",iia_median
"(7, 49)",iia_median_dry
"(48, 56)",mbi_median_wet
"(28, 58)",nddi_median_dry
"(44, 59)",nddi_median_wet
"(8, 60)",ndvi_median
"(27, 61)",ndvi_median_dry
"(19, 62)",ndvi_median_wet
"(35, 64)",ndwi_median_dry
"(31, 65)",ndwi_median_wet
"(32, 66)",nir_median
"(49, 69)",nir_median_dry_contrast
"(18, 70)",nir_median_wet
"(56, 71)",nir_stdDev
"(22, 72)",osavi_median
"(33, 73)",osavi_median_dry
"(26, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(1, 76)",ratio_median_dry
"(30, 77)",ratio_median_wet
"(21, 78)",red_median
"(37, 80)",red_median_dry
"(55, 82)",red_median_wet
"(25, 83)",red_stdDev
"(54, 84)",ri_median
"(5, 85)",ri_median_dry
"(59, 86)",ri_median_wet
"(57, 87)",rvi_median
"(23, 88)",rvi_median_1
"(24, 89)",rvi_median_wet
"(50, 90)",shape_median
"(36, 91)",shape_median_dry
"(9, 92)",shape_median_wet
"(58, 93)",solpe
"(34, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(15, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(51, 99)",swir2_median_dry
"(3, 101)",swir2_stdDev
"(52, 103)",ui_median_dry
"(1, 104)",ui_median_wet
"(40, 105)",wetness_median
"(12, 106)",wetness_median_dry
