ranking,features
"(1, 2)",afvi_median_wet
"(6, 5)",avi_median_wet
"(1, 6)",awei_median
"(1, 7)",awei_median_dry
"(1, 8)",awei_median_wet
"(1, 9)",blue_median
"(8, 10)",blue_median_dry
"(1, 11)",blue_median_wet
"(1, 13)",brba_median
"(1, 15)",brba_median_wet
"(1, 16)",brightness_median
"(9, 17)",brightness_median_dry
"(1, 18)",brightness_median_wet
"(1, 20)",bsi_median_1
"(1, 21)",bsi_median_2
"(1, 25)",dswi5_median
"(1, 26)",dswi5_median_dry
"(7, 27)",dswi5_median_wet
"(1, 32)",gcvi_median_dry
"(1, 33)",gcvi_median_wet
"(5, 34)",gemi_median
"(1, 36)",gemi_median_wet
"(1, 37)",gli_median
"(2, 39)",gli_median_wet
"(1, 40)",green_median
"(1, 41)",green_median_dry
"(1, 42)",green_median_wet
"(1, 45)",gvmi_median_dry
"(1, 46)",gvmi_median_wet
"(1, 50)",iia_median_wet
"(11, 51)",lswi_median
"(13, 53)",lswi_median_wet
"(4, 54)",mbi_median
"(1, 57)",nddi_median
"(1, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(1, 61)",ndvi_median_dry
"(1, 62)",ndvi_median_wet
"(1, 63)",ndwi_median
"(1, 65)",ndwi_median_wet
"(1, 66)",nir_median
"(1, 67)",nir_median_contrast
"(10, 68)",nir_median_dry
"(1, 70)",nir_median_wet
"(1, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(1, 78)",red_median
"(1, 79)",red_median_contrast
"(1, 80)",red_median_dry
"(1, 82)",red_median_wet
"(1, 84)",ri_median
"(3, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(1, 87)",rvi_median
"(12, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(1, 90)",shape_median
"(1, 93)",solpe
"(1, 94)",swir1_median
"(1, 96)",swir1_median_wet
"(1, 98)",swir2_median
"(1, 100)",swir2_median_wet
"(1, 102)",ui_median
"(1, 104)",ui_median_wet
"(1, 105)",wetness_median
"(1, 107)",wetness_median_wet
