ranking,features
"(37, 0)",afvi_median
"(36, 2)",afvi_median_wet
"(38, 3)",avi_median
"(1, 4)",avi_median_dry
"(54, 5)",avi_median_wet
"(18, 8)",awei_median_wet
"(35, 9)",blue_median
"(45, 10)",blue_median_dry
"(20, 11)",blue_median_wet
"(2, 13)",brba_median
"(1, 14)",brba_median_dry
"(1, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(4, 18)",brightness_median_wet
"(42, 19)",bsi_median
"(49, 21)",bsi_median_2
"(47, 23)",cvi_median_dry
"(16, 24)",cvi_median_wet
"(1, 28)",evi_median
"(8, 29)",evi_median_dry
"(34, 31)",gcvi_median
"(13, 35)",gemi_median_dry
"(15, 37)",gli_median
"(26, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(31, 40)",green_median
"(1, 42)",green_median_wet
"(39, 43)",green_stdDev
"(51, 45)",gvmi_median_dry
"(52, 49)",iia_median_dry
"(53, 53)",lswi_median_wet
"(6, 55)",mbi_median_dry
"(48, 56)",mbi_median_wet
"(7, 58)",nddi_median_dry
"(1, 61)",ndvi_median_dry
"(33, 63)",ndwi_median
"(17, 64)",ndwi_median_dry
"(32, 65)",ndwi_median_wet
"(29, 66)",nir_median
"(44, 67)",nir_median_contrast
"(11, 68)",nir_median_dry
"(1, 69)",nir_median_dry_contrast
"(43, 70)",nir_median_wet
"(23, 71)",nir_stdDev
"(50, 75)",ratio_median
"(25, 76)",ratio_median_dry
"(28, 77)",ratio_median_wet
"(55, 78)",red_median
"(21, 79)",red_median_contrast
"(5, 80)",red_median_dry
"(3, 81)",red_median_dry_contrast
"(22, 82)",red_median_wet
"(10, 83)",red_stdDev
"(24, 85)",ri_median_dry
"(40, 87)",rvi_median
"(1, 88)",rvi_median_1
"(30, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(27, 93)",solpe
"(9, 95)",swir1_median_dry
"(41, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(14, 98)",swir2_median
"(46, 100)",swir2_median_wet
"(1, 101)",swir2_stdDev
"(12, 103)",ui_median_dry
"(1, 105)",wetness_median
"(19, 107)",wetness_median_wet
