ranking,features
"(35, 0)",afvi_median
"(5, 3)",avi_median
"(1, 4)",avi_median_dry
"(27, 6)",awei_median
"(1, 7)",awei_median_dry
"(4, 8)",awei_median_wet
"(29, 11)",blue_median_wet
"(40, 14)",brba_median_dry
"(34, 15)",brba_median_wet
"(24, 17)",brightness_median_dry
"(19, 18)",brightness_median_wet
"(9, 19)",bsi_median
"(1, 20)",bsi_median_1
"(1, 21)",bsi_median_2
"(20, 24)",cvi_median_wet
"(1, 25)",dswi5_median
"(32, 26)",dswi5_median_dry
"(8, 27)",dswi5_median_wet
"(38, 28)",evi_median
"(1, 29)",evi_median_dry
"(6, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(23, 32)",gcvi_median_dry
"(1, 33)",gcvi_median_wet
"(1, 34)",gemi_median
"(1, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(1, 37)",gli_median
"(10, 42)",green_median_wet
"(1, 44)",gvmi_median
"(39, 45)",gvmi_median_dry
"(1, 46)",gvmi_median_wet
"(2, 48)",iia_median
"(1, 50)",iia_median_wet
"(1, 51)",lswi_median
"(25, 52)",lswi_median_dry
"(1, 53)",lswi_median_wet
"(11, 54)",mbi_median
"(16, 56)",mbi_median_wet
"(17, 57)",nddi_median
"(31, 59)",nddi_median_wet
"(28, 60)",ndvi_median
"(3, 63)",ndwi_median
"(18, 65)",ndwi_median_wet
"(1, 66)",nir_median
"(1, 68)",nir_median_dry
"(1, 70)",nir_median_wet
"(12, 72)",osavi_median
"(15, 73)",osavi_median_dry
"(30, 74)",osavi_median_wet
"(33, 76)",ratio_median_dry
"(1, 78)",red_median
"(1, 80)",red_median_dry
"(21, 82)",red_median_wet
"(1, 84)",ri_median
"(1, 86)",ri_median_wet
"(26, 89)",rvi_median_wet
"(1, 90)",shape_median
"(37, 91)",shape_median_dry
"(13, 93)",solpe
"(22, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(7, 98)",swir2_median
"(1, 100)",swir2_median_wet
"(1, 102)",ui_median
"(36, 103)",ui_median_dry
"(1, 104)",ui_median_wet
"(14, 107)",wetness_median_wet
