ranking,features
"(10, 0)",afvi_median
"(1, 1)",afvi_median_dry
"(1, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(1, 6)",awei_median
"(1, 7)",awei_median_dry
"(1, 8)",awei_median_wet
"(1, 10)",blue_median_dry
"(1, 12)",blue_stdDev
"(1, 17)",brightness_median_dry
"(1, 18)",brightness_median_wet
"(1, 19)",bsi_median
"(7, 20)",bsi_median_1
"(1, 21)",bsi_median_2
"(1, 25)",dswi5_median
"(1, 27)",dswi5_median_wet
"(1, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(1, 34)",gemi_median
"(1, 35)",gemi_median_dry
"(1, 37)",gli_median
"(1, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(12, 40)",green_median
"(6, 41)",green_median_dry
"(1, 42)",green_median_wet
"(1, 43)",green_stdDev
"(1, 44)",gvmi_median
"(1, 45)",gvmi_median_dry
"(1, 46)",gvmi_median_wet
"(15, 48)",iia_median
"(11, 49)",iia_median_dry
"(8, 50)",iia_median_wet
"(1, 51)",lswi_median
"(1, 52)",lswi_median_dry
"(1, 53)",lswi_median_wet
"(1, 54)",mbi_median
"(1, 56)",mbi_median_wet
"(1, 57)",nddi_median
"(1, 59)",nddi_median_wet
"(2, 62)",ndvi_median_wet
"(1, 65)",ndwi_median_wet
"(1, 66)",nir_median
"(1, 67)",nir_median_contrast
"(1, 68)",nir_median_dry
"(1, 71)",nir_stdDev
"(13, 72)",osavi_median
"(1, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 79)",red_median_contrast
"(1, 80)",red_median_dry
"(1, 81)",red_median_dry_contrast
"(1, 83)",red_stdDev
"(3, 86)",ri_median_wet
"(1, 87)",rvi_median
"(14, 89)",rvi_median_wet
"(5, 90)",shape_median
"(1, 93)",solpe
"(1, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(1, 98)",swir2_median
"(1, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(9, 104)",ui_median_wet
"(4, 105)",wetness_median
"(1, 106)",wetness_median_dry
"(1, 107)",wetness_median_wet
