ranking,features
"(25, 0)",afvi_median
"(3, 2)",afvi_median_wet
"(1, 5)",avi_median_wet
"(24, 6)",awei_median
"(1, 7)",awei_median_dry
"(1, 8)",awei_median_wet
"(33, 9)",blue_median
"(7, 11)",blue_median_wet
"(1, 12)",blue_stdDev
"(1, 18)",brightness_median_wet
"(23, 20)",bsi_median_1
"(1, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(2, 25)",dswi5_median
"(12, 26)",dswi5_median_dry
"(1, 27)",dswi5_median_wet
"(1, 28)",evi_median
"(19, 29)",evi_median_dry
"(6, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(1, 33)",gcvi_median_wet
"(22, 34)",gemi_median
"(1, 36)",gemi_median_wet
"(35, 38)",gli_median_dry
"(16, 39)",gli_median_wet
"(14, 40)",green_median
"(36, 42)",green_median_wet
"(34, 44)",gvmi_median
"(1, 46)",gvmi_median_wet
"(18, 48)",iia_median
"(1, 51)",lswi_median
"(1, 53)",lswi_median_wet
"(1, 54)",mbi_median
"(20, 56)",mbi_median_wet
"(9, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(1, 61)",ndvi_median_dry
"(21, 62)",ndvi_median_wet
"(1, 64)",ndwi_median_dry
"(27, 65)",ndwi_median_wet
"(17, 67)",nir_median_contrast
"(1, 70)",nir_median_wet
"(1, 72)",osavi_median
"(32, 73)",osavi_median_dry
"(28, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(1, 76)",ratio_median_dry
"(26, 77)",ratio_median_wet
"(29, 78)",red_median
"(1, 84)",ri_median
"(1, 86)",ri_median_wet
"(1, 87)",rvi_median
"(1, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(31, 90)",shape_median
"(10, 91)",shape_median_dry
"(5, 92)",shape_median_wet
"(15, 94)",swir1_median
"(13, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(8, 98)",swir2_median
"(1, 99)",swir2_median_dry
"(1, 101)",swir2_stdDev
"(30, 104)",ui_median_wet
"(1, 105)",wetness_median
"(4, 106)",wetness_median_dry
"(11, 107)",wetness_median_wet
