ranking,features
"(1, 0)",afvi_median
"(37, 1)",afvi_median_dry
"(1, 3)",avi_median
"(1, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(1, 6)",awei_median
"(13, 7)",awei_median_dry
"(1, 8)",awei_median_wet
"(31, 11)",blue_median_wet
"(10, 13)",brba_median
"(1, 16)",brightness_median
"(25, 17)",brightness_median_dry
"(16, 18)",brightness_median_wet
"(1, 19)",bsi_median
"(1, 20)",bsi_median_1
"(1, 21)",bsi_median_2
"(12, 22)",cvi_median
"(1, 25)",dswi5_median
"(3, 26)",dswi5_median_dry
"(1, 29)",evi_median_dry
"(11, 30)",evi_median_wet
"(26, 32)",gcvi_median_dry
"(8, 33)",gcvi_median_wet
"(1, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(6, 37)",gli_median
"(34, 38)",gli_median_dry
"(30, 40)",green_median
"(2, 42)",green_median_wet
"(1, 44)",gvmi_median
"(1, 45)",gvmi_median_dry
"(29, 46)",gvmi_median_wet
"(1, 48)",iia_median
"(9, 50)",iia_median_wet
"(1, 51)",lswi_median
"(1, 53)",lswi_median_wet
"(14, 54)",mbi_median
"(18, 56)",mbi_median_wet
"(1, 57)",nddi_median
"(28, 58)",nddi_median_dry
"(36, 59)",nddi_median_wet
"(27, 60)",ndvi_median
"(38, 62)",ndvi_median_wet
"(1, 63)",ndwi_median
"(15, 65)",ndwi_median_wet
"(1, 66)",nir_median
"(1, 68)",nir_median_dry
"(19, 73)",osavi_median_dry
"(24, 74)",osavi_median_wet
"(22, 75)",ratio_median
"(1, 78)",red_median
"(1, 80)",red_median_dry
"(7, 82)",red_median_wet
"(1, 84)",ri_median
"(21, 86)",ri_median_wet
"(32, 87)",rvi_median
"(17, 88)",rvi_median_1
"(1, 90)",shape_median
"(4, 93)",solpe
"(1, 94)",swir1_median
"(5, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(35, 98)",swir2_median
"(20, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(1, 102)",ui_median
"(33, 103)",ui_median_dry
"(23, 104)",ui_median_wet
