ranking,features
"(47, 0)",afvi_median
"(34, 2)",afvi_median_wet
"(10, 3)",avi_median
"(31, 4)",avi_median_dry
"(1, 6)",awei_median
"(11, 7)",awei_median_dry
"(26, 8)",awei_median_wet
"(3, 9)",blue_median
"(9, 16)",brightness_median
"(27, 17)",brightness_median_dry
"(19, 18)",brightness_median_wet
"(48, 20)",bsi_median_1
"(32, 22)",cvi_median
"(40, 24)",cvi_median_wet
"(13, 26)",dswi5_median_dry
"(1, 27)",dswi5_median_wet
"(8, 29)",evi_median_dry
"(12, 30)",evi_median_wet
"(37, 31)",gcvi_median
"(46, 32)",gcvi_median_dry
"(1, 33)",gcvi_median_wet
"(6, 34)",gemi_median
"(41, 35)",gemi_median_dry
"(1, 37)",gli_median
"(23, 39)",gli_median_wet
"(14, 40)",green_median
"(1, 41)",green_median_dry
"(29, 42)",green_median_wet
"(33, 43)",green_stdDev
"(38, 45)",gvmi_median_dry
"(16, 46)",gvmi_median_wet
"(1, 47)",hillshade
"(7, 48)",iia_median
"(1, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(1, 52)",lswi_median_dry
"(20, 53)",lswi_median_wet
"(51, 55)",mbi_median_dry
"(17, 56)",mbi_median_wet
"(52, 60)",ndvi_median
"(1, 62)",ndvi_median_wet
"(42, 66)",nir_median
"(1, 68)",nir_median_dry
"(21, 69)",nir_median_dry_contrast
"(44, 70)",nir_median_wet
"(28, 74)",osavi_median_wet
"(15, 77)",ratio_median_wet
"(50, 81)",red_median_dry_contrast
"(25, 83)",red_stdDev
"(49, 84)",ri_median
"(1, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(35, 87)",rvi_median
"(2, 89)",rvi_median_wet
"(1, 90)",shape_median
"(39, 91)",shape_median_dry
"(18, 92)",shape_median_wet
"(24, 93)",solpe
"(4, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(36, 97)",swir1_stdDev
"(45, 99)",swir2_median_dry
"(30, 100)",swir2_median_wet
"(5, 101)",swir2_stdDev
"(43, 104)",ui_median_wet
"(22, 105)",wetness_median
"(1, 107)",wetness_median_wet
