ranking,features
"(21, 0)",afvi_median
"(35, 2)",afvi_median_wet
"(20, 3)",avi_median
"(7, 5)",avi_median_wet
"(34, 10)",blue_median_dry
"(39, 11)",blue_median_wet
"(9, 14)",brba_median_dry
"(26, 16)",brightness_median
"(56, 22)",cvi_median
"(30, 23)",cvi_median_dry
"(25, 27)",dswi5_median_wet
"(41, 28)",evi_median
"(18, 29)",evi_median_dry
"(32, 30)",evi_median_wet
"(2, 31)",gcvi_median
"(1, 33)",gcvi_median_wet
"(1, 34)",gemi_median
"(16, 35)",gemi_median_dry
"(58, 37)",gli_median
"(1, 38)",gli_median_dry
"(8, 39)",gli_median_wet
"(49, 40)",green_median
"(48, 43)",green_stdDev
"(37, 44)",gvmi_median
"(46, 45)",gvmi_median_dry
"(42, 46)",gvmi_median_wet
"(47, 47)",hillshade
"(1, 48)",iia_median
"(50, 49)",iia_median_dry
"(12, 50)",iia_median_wet
"(52, 52)",lswi_median_dry
"(1, 54)",mbi_median
"(36, 55)",mbi_median_dry
"(53, 56)",mbi_median_wet
"(54, 58)",nddi_median_dry
"(31, 59)",nddi_median_wet
"(4, 60)",ndvi_median
"(51, 61)",ndvi_median_dry
"(13, 62)",ndvi_median_wet
"(5, 65)",ndwi_median_wet
"(1, 66)",nir_median
"(33, 68)",nir_median_dry
"(55, 70)",nir_median_wet
"(28, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(44, 76)",ratio_median_dry
"(10, 77)",ratio_median_wet
"(22, 78)",red_median
"(1, 83)",red_stdDev
"(11, 84)",ri_median
"(40, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(1, 87)",rvi_median
"(15, 88)",rvi_median_1
"(14, 89)",rvi_median_wet
"(38, 90)",shape_median
"(1, 91)",shape_median_dry
"(17, 92)",shape_median_wet
"(6, 93)",solpe
"(29, 94)",swir1_median
"(3, 95)",swir1_median_dry
"(27, 96)",swir1_median_wet
"(23, 97)",swir1_stdDev
"(45, 98)",swir2_median
"(57, 99)",swir2_median_dry
"(43, 101)",swir2_stdDev
"(24, 104)",ui_median_wet
"(19, 106)",wetness_median_dry
