ranking,features
"(49, 1)",afvi_median_dry
"(55, 3)",avi_median
"(31, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(27, 6)",awei_median
"(54, 7)",awei_median_dry
"(5, 8)",awei_median_wet
"(22, 11)",blue_median_wet
"(43, 12)",blue_stdDev
"(57, 13)",brba_median
"(32, 17)",brightness_median_dry
"(16, 18)",brightness_median_wet
"(58, 19)",bsi_median
"(60, 20)",bsi_median_1
"(28, 23)",cvi_median_dry
"(10, 24)",cvi_median_wet
"(39, 25)",dswi5_median
"(18, 27)",dswi5_median_wet
"(25, 28)",evi_median
"(24, 30)",evi_median_wet
"(26, 31)",gcvi_median
"(56, 32)",gcvi_median_dry
"(2, 33)",gcvi_median_wet
"(21, 34)",gemi_median
"(35, 36)",gemi_median_wet
"(17, 37)",gli_median
"(1, 38)",gli_median_dry
"(47, 41)",green_median_dry
"(34, 45)",gvmi_median_dry
"(19, 46)",gvmi_median_wet
"(1, 48)",iia_median
"(6, 50)",iia_median_wet
"(12, 53)",lswi_median_wet
"(7, 54)",mbi_median
"(52, 55)",mbi_median_dry
"(38, 56)",mbi_median_wet
"(9, 60)",ndvi_median
"(1, 61)",ndvi_median_dry
"(36, 62)",ndvi_median_wet
"(42, 64)",ndwi_median_dry
"(51, 66)",nir_median
"(59, 69)",nir_median_dry_contrast
"(1, 70)",nir_median_wet
"(20, 72)",osavi_median
"(37, 73)",osavi_median_dry
"(8, 74)",osavi_median_wet
"(11, 75)",ratio_median
"(3, 76)",ratio_median_dry
"(53, 77)",ratio_median_wet
"(40, 80)",red_median_dry
"(13, 84)",ri_median
"(33, 85)",ri_median_dry
"(45, 86)",ri_median_wet
"(1, 88)",rvi_median_1
"(62, 89)",rvi_median_wet
"(23, 90)",shape_median
"(15, 92)",shape_median_wet
"(46, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(44, 97)",swir1_stdDev
"(29, 98)",swir2_median
"(14, 99)",swir2_median_dry
"(50, 100)",swir2_median_wet
"(4, 101)",swir2_stdDev
"(61, 102)",ui_median
"(48, 103)",ui_median_dry
"(30, 104)",ui_median_wet
"(41, 107)",wetness_median_wet
