ranking,features
"(1, 0)",afvi_median
"(12, 1)",afvi_median_dry
"(1, 2)",afvi_median_wet
"(56, 3)",avi_median
"(54, 6)",awei_median
"(2, 8)",awei_median_wet
"(52, 9)",blue_median
"(27, 12)",blue_stdDev
"(60, 13)",brba_median
"(5, 14)",brba_median_dry
"(45, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(48, 18)",brightness_median_wet
"(28, 22)",cvi_median
"(29, 24)",cvi_median_wet
"(47, 27)",dswi5_median_wet
"(19, 29)",evi_median_dry
"(21, 31)",gcvi_median
"(55, 32)",gcvi_median_dry
"(7, 33)",gcvi_median_wet
"(31, 34)",gemi_median
"(50, 36)",gemi_median_wet
"(26, 41)",green_median_dry
"(34, 42)",green_median_wet
"(58, 46)",gvmi_median_wet
"(17, 47)",hillshade
"(1, 48)",iia_median
"(30, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(46, 53)",lswi_median_wet
"(44, 56)",mbi_median_wet
"(3, 57)",nddi_median
"(8, 58)",nddi_median_dry
"(36, 59)",nddi_median_wet
"(39, 60)",ndvi_median
"(32, 61)",ndvi_median_dry
"(43, 62)",ndvi_median_wet
"(1, 63)",ndwi_median
"(37, 64)",ndwi_median_dry
"(22, 65)",ndwi_median_wet
"(23, 67)",nir_median_contrast
"(6, 70)",nir_median_wet
"(1, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(38, 75)",ratio_median
"(53, 76)",ratio_median_dry
"(51, 77)",ratio_median_wet
"(13, 80)",red_median_dry
"(59, 81)",red_median_dry_contrast
"(4, 83)",red_stdDev
"(9, 84)",ri_median
"(18, 85)",ri_median_dry
"(20, 86)",ri_median_wet
"(49, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(33, 90)",shape_median
"(42, 92)",shape_median_wet
"(15, 93)",solpe
"(57, 94)",swir1_median
"(41, 96)",swir1_median_wet
"(10, 99)",swir2_median_dry
"(24, 100)",swir2_median_wet
"(35, 101)",swir2_stdDev
"(40, 102)",ui_median
"(16, 104)",ui_median_wet
"(25, 105)",wetness_median
"(14, 106)",wetness_median_dry
"(11, 107)",wetness_median_wet
