ranking,features
"(1, 0)",afvi_median
"(1, 1)",afvi_median_dry
"(13, 3)",avi_median
"(1, 5)",avi_median_wet
"(19, 12)",blue_stdDev
"(1, 13)",brba_median
"(6, 15)",brba_median_wet
"(32, 16)",brightness_median
"(9, 22)",cvi_median
"(1, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(21, 25)",dswi5_median
"(28, 27)",dswi5_median_wet
"(25, 28)",evi_median
"(1, 30)",evi_median_wet
"(11, 31)",gcvi_median
"(36, 32)",gcvi_median_dry
"(1, 34)",gemi_median
"(27, 35)",gemi_median_dry
"(35, 36)",gemi_median_wet
"(1, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(2, 40)",green_median
"(12, 42)",green_median_wet
"(15, 43)",green_stdDev
"(17, 44)",gvmi_median
"(7, 46)",gvmi_median_wet
"(16, 47)",hillshade
"(23, 48)",iia_median
"(1, 49)",iia_median_dry
"(24, 50)",iia_median_wet
"(1, 56)",mbi_median_wet
"(18, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(10, 61)",ndvi_median_dry
"(1, 62)",ndvi_median_wet
"(37, 63)",ndwi_median
"(1, 64)",ndwi_median_dry
"(4, 67)",nir_median_contrast
"(1, 69)",nir_median_dry_contrast
"(20, 70)",nir_median_wet
"(8, 72)",osavi_median
"(39, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(29, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(1, 78)",red_median
"(1, 80)",red_median_dry
"(22, 82)",red_median_wet
"(1, 83)",red_stdDev
"(1, 84)",ri_median
"(1, 85)",ri_median_dry
"(1, 87)",rvi_median
"(31, 88)",rvi_median_1
"(3, 89)",rvi_median_wet
"(14, 90)",shape_median
"(1, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(1, 93)",solpe
"(40, 96)",swir1_median_wet
"(26, 97)",swir1_stdDev
"(38, 99)",swir2_median_dry
"(33, 100)",swir2_median_wet
"(5, 101)",swir2_stdDev
"(1, 103)",ui_median_dry
"(30, 104)",ui_median_wet
"(34, 105)",wetness_median
