ranking,features
"(8, 0)",afvi_median
"(1, 1)",afvi_median_dry
"(1, 2)",afvi_median_wet
"(1, 4)",avi_median_dry
"(1, 6)",awei_median
"(20, 7)",awei_median_dry
"(19, 8)",awei_median_wet
"(22, 9)",blue_median
"(1, 10)",blue_median_dry
"(1, 12)",blue_stdDev
"(24, 13)",brba_median
"(14, 15)",brba_median_wet
"(12, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(1, 20)",bsi_median_1
"(3, 21)",bsi_median_2
"(1, 27)",dswi5_median_wet
"(4, 29)",evi_median_dry
"(1, 31)",gcvi_median
"(6, 32)",gcvi_median_dry
"(21, 37)",gli_median
"(1, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(7, 40)",green_median
"(1, 43)",green_stdDev
"(1, 44)",gvmi_median
"(5, 45)",gvmi_median_dry
"(1, 48)",iia_median
"(13, 49)",iia_median_dry
"(32, 50)",iia_median_wet
"(17, 51)",lswi_median
"(16, 52)",lswi_median_dry
"(1, 53)",lswi_median_wet
"(27, 56)",mbi_median_wet
"(23, 57)",nddi_median
"(10, 58)",nddi_median_dry
"(31, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(29, 61)",ndvi_median_dry
"(28, 62)",ndvi_median_wet
"(1, 63)",ndwi_median
"(15, 64)",ndwi_median_dry
"(1, 65)",ndwi_median_wet
"(33, 67)",nir_median_contrast
"(1, 68)",nir_median_dry
"(1, 71)",nir_stdDev
"(34, 73)",osavi_median_dry
"(18, 75)",ratio_median
"(1, 76)",ratio_median_dry
"(1, 78)",red_median
"(1, 80)",red_median_dry
"(1, 83)",red_stdDev
"(1, 84)",ri_median
"(9, 85)",ri_median_dry
"(11, 88)",rvi_median_1
"(30, 89)",rvi_median_wet
"(26, 91)",shape_median_dry
"(2, 92)",shape_median_wet
"(25, 93)",solpe
"(1, 95)",swir1_median_dry
"(1, 98)",swir2_median
"(1, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(1, 102)",ui_median
"(1, 103)",ui_median_dry
"(1, 104)",ui_median_wet
"(1, 105)",wetness_median
"(1, 106)",wetness_median_dry
