ranking,features
"(4, 0)",afvi_median
"(25, 1)",afvi_median_dry
"(12, 5)",avi_median_wet
"(29, 9)",blue_median
"(20, 13)",brba_median
"(43, 14)",brba_median_dry
"(32, 15)",brba_median_wet
"(22, 16)",brightness_median
"(57, 21)",bsi_median_2
"(6, 22)",cvi_median
"(50, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(54, 25)",dswi5_median
"(19, 27)",dswi5_median_wet
"(48, 28)",evi_median
"(52, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(31, 31)",gcvi_median
"(17, 32)",gcvi_median_dry
"(35, 33)",gcvi_median_wet
"(9, 34)",gemi_median
"(42, 35)",gemi_median_dry
"(51, 37)",gli_median
"(2, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(7, 40)",green_median
"(46, 41)",green_median_dry
"(3, 42)",green_median_wet
"(15, 43)",green_stdDev
"(5, 44)",gvmi_median
"(14, 47)",hillshade
"(26, 48)",iia_median
"(49, 50)",iia_median_wet
"(23, 56)",mbi_median_wet
"(1, 60)",ndvi_median
"(41, 61)",ndvi_median_dry
"(18, 62)",ndvi_median_wet
"(39, 63)",ndwi_median
"(1, 64)",ndwi_median_dry
"(33, 66)",nir_median
"(40, 68)",nir_median_dry
"(8, 69)",nir_median_dry_contrast
"(27, 70)",nir_median_wet
"(30, 72)",osavi_median
"(56, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(53, 76)",ratio_median_dry
"(10, 77)",ratio_median_wet
"(28, 80)",red_median_dry
"(36, 82)",red_median_wet
"(1, 83)",red_stdDev
"(34, 84)",ri_median
"(24, 85)",ri_median_dry
"(55, 86)",ri_median_wet
"(11, 87)",rvi_median
"(21, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(16, 90)",shape_median
"(1, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(13, 93)",solpe
"(38, 95)",swir1_median_dry
"(44, 99)",swir2_median_dry
"(37, 101)",swir2_stdDev
"(47, 102)",ui_median
"(1, 103)",ui_median_dry
"(45, 107)",wetness_median_wet
