ranking,features
"(54, 1)",afvi_median_dry
"(7, 2)",afvi_median_wet
"(29, 3)",avi_median
"(1, 5)",avi_median_wet
"(50, 6)",awei_median
"(10, 7)",awei_median_dry
"(18, 8)",awei_median_wet
"(22, 9)",blue_median
"(52, 10)",blue_median_dry
"(35, 11)",blue_median_wet
"(5, 17)",brightness_median_dry
"(57, 18)",brightness_median_wet
"(3, 24)",cvi_median_wet
"(1, 27)",dswi5_median_wet
"(38, 28)",evi_median
"(1, 30)",evi_median_wet
"(8, 32)",gcvi_median_dry
"(36, 33)",gcvi_median_wet
"(34, 34)",gemi_median
"(62, 37)",gli_median
"(6, 38)",gli_median_dry
"(33, 39)",gli_median_wet
"(53, 40)",green_median
"(47, 41)",green_median_dry
"(30, 43)",green_stdDev
"(46, 44)",gvmi_median
"(12, 46)",gvmi_median_wet
"(58, 47)",hillshade
"(20, 48)",iia_median
"(16, 49)",iia_median_dry
"(55, 50)",iia_median_wet
"(61, 53)",lswi_median_wet
"(49, 56)",mbi_median_wet
"(41, 58)",nddi_median_dry
"(14, 60)",ndvi_median
"(1, 61)",ndvi_median_dry
"(23, 62)",ndvi_median_wet
"(31, 64)",ndwi_median_dry
"(51, 66)",nir_median
"(15, 70)",nir_median_wet
"(45, 71)",nir_stdDev
"(21, 72)",osavi_median
"(11, 73)",osavi_median_dry
"(25, 74)",osavi_median_wet
"(44, 75)",ratio_median
"(2, 76)",ratio_median_dry
"(37, 77)",ratio_median_wet
"(43, 78)",red_median
"(32, 80)",red_median_dry
"(39, 83)",red_stdDev
"(56, 84)",ri_median
"(26, 85)",ri_median_dry
"(28, 86)",ri_median_wet
"(1, 87)",rvi_median
"(17, 88)",rvi_median_1
"(40, 89)",rvi_median_wet
"(59, 90)",shape_median
"(19, 92)",shape_median_wet
"(9, 94)",swir1_median
"(1, 95)",swir1_median_dry
"(4, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(24, 99)",swir2_median_dry
"(13, 101)",swir2_stdDev
"(48, 103)",ui_median_dry
"(60, 104)",ui_median_wet
"(42, 105)",wetness_median
"(27, 106)",wetness_median_dry
