ranking,features
"(24, 1)",afvi_median_dry
"(15, 2)",afvi_median_wet
"(4, 3)",avi_median
"(3, 7)",awei_median_dry
"(16, 8)",awei_median_wet
"(1, 10)",blue_median_dry
"(1, 11)",blue_median_wet
"(27, 13)",brba_median
"(1, 14)",brba_median_dry
"(1, 17)",brightness_median_dry
"(11, 19)",bsi_median
"(18, 20)",bsi_median_1
"(35, 21)",bsi_median_2
"(29, 24)",cvi_median_wet
"(43, 25)",dswi5_median
"(41, 26)",dswi5_median_dry
"(34, 27)",dswi5_median_wet
"(38, 28)",evi_median
"(39, 29)",evi_median_dry
"(1, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(5, 33)",gcvi_median_wet
"(28, 35)",gemi_median_dry
"(10, 37)",gli_median
"(1, 39)",gli_median_wet
"(37, 40)",green_median
"(1, 41)",green_median_dry
"(1, 42)",green_median_wet
"(13, 43)",green_stdDev
"(1, 45)",gvmi_median_dry
"(8, 46)",gvmi_median_wet
"(1, 48)",iia_median
"(1, 49)",iia_median_dry
"(21, 50)",iia_median_wet
"(30, 53)",lswi_median_wet
"(23, 55)",mbi_median_dry
"(1, 58)",nddi_median_dry
"(1, 59)",nddi_median_wet
"(31, 62)",ndvi_median_wet
"(1, 64)",ndwi_median_dry
"(1, 65)",ndwi_median_wet
"(1, 68)",nir_median_dry
"(7, 71)",nir_stdDev
"(36, 72)",osavi_median
"(33, 73)",osavi_median_dry
"(19, 74)",osavi_median_wet
"(26, 75)",ratio_median
"(17, 76)",ratio_median_dry
"(6, 79)",red_median_contrast
"(1, 80)",red_median_dry
"(40, 82)",red_median_wet
"(1, 84)",ri_median
"(1, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(12, 87)",rvi_median
"(32, 88)",rvi_median_1
"(42, 90)",shape_median
"(1, 92)",shape_median_wet
"(1, 93)",solpe
"(20, 94)",swir1_median
"(25, 95)",swir1_median_dry
"(9, 96)",swir1_median_wet
"(1, 97)",swir1_stdDev
"(1, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(2, 103)",ui_median_dry
"(22, 106)",wetness_median_dry
"(14, 107)",wetness_median_wet
