ranking,features
"(42, 0)",afvi_median
"(1, 2)",afvi_median_wet
"(40, 3)",avi_median
"(35, 4)",avi_median_dry
"(1, 5)",avi_median_wet
"(29, 6)",awei_median
"(1, 8)",awei_median_wet
"(38, 9)",blue_median
"(12, 10)",blue_median_dry
"(1, 11)",blue_median_wet
"(20, 13)",brba_median
"(39, 14)",brba_median_dry
"(1, 15)",brba_median_wet
"(1, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(41, 18)",brightness_median_wet
"(16, 19)",bsi_median
"(1, 26)",dswi5_median_dry
"(14, 27)",dswi5_median_wet
"(1, 30)",evi_median_wet
"(47, 31)",gcvi_median
"(8, 32)",gcvi_median_dry
"(2, 33)",gcvi_median_wet
"(1, 34)",gemi_median
"(31, 35)",gemi_median_dry
"(3, 36)",gemi_median_wet
"(11, 37)",gli_median
"(46, 38)",gli_median_dry
"(4, 40)",green_median
"(1, 41)",green_median_dry
"(27, 42)",green_median_wet
"(21, 44)",gvmi_median
"(45, 45)",gvmi_median_dry
"(1, 46)",gvmi_median_wet
"(6, 49)",iia_median_dry
"(5, 53)",lswi_median_wet
"(1, 57)",nddi_median
"(1, 59)",nddi_median_wet
"(24, 60)",ndvi_median
"(37, 61)",ndvi_median_dry
"(1, 62)",ndvi_median_wet
"(1, 65)",ndwi_median_wet
"(1, 66)",nir_median
"(28, 67)",nir_median_contrast
"(23, 70)",nir_median_wet
"(19, 71)",nir_stdDev
"(18, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(22, 76)",ratio_median_dry
"(13, 77)",ratio_median_wet
"(1, 80)",red_median_dry
"(34, 82)",red_median_wet
"(43, 86)",ri_median_wet
"(30, 87)",rvi_median
"(32, 88)",rvi_median_1
"(10, 89)",rvi_median_wet
"(1, 90)",shape_median
"(25, 92)",shape_median_wet
"(33, 93)",solpe
"(9, 94)",swir1_median
"(15, 95)",swir1_median_dry
"(17, 96)",swir1_median_wet
"(36, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(44, 102)",ui_median
"(1, 104)",ui_median_wet
"(7, 105)",wetness_median
"(26, 107)",wetness_median_wet
