ranking,features
"(42, 1)",afvi_median_dry
"(18, 3)",avi_median
"(10, 4)",avi_median_dry
"(13, 5)",avi_median_wet
"(20, 9)",blue_median
"(1, 13)",brba_median
"(44, 15)",brba_median_wet
"(35, 16)",brightness_median
"(6, 22)",cvi_median
"(1, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(31, 25)",dswi5_median
"(33, 27)",dswi5_median_wet
"(48, 28)",evi_median
"(38, 29)",evi_median_dry
"(5, 30)",evi_median_wet
"(21, 31)",gcvi_median
"(22, 32)",gcvi_median_dry
"(41, 36)",gemi_median_wet
"(7, 37)",gli_median
"(3, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(4, 40)",green_median
"(9, 42)",green_median_wet
"(27, 43)",green_stdDev
"(54, 44)",gvmi_median
"(16, 47)",hillshade
"(19, 48)",iia_median
"(17, 51)",lswi_median
"(29, 52)",lswi_median_dry
"(43, 56)",mbi_median_wet
"(51, 58)",nddi_median_dry
"(15, 60)",ndvi_median
"(34, 61)",ndvi_median_dry
"(47, 62)",ndvi_median_wet
"(53, 63)",ndwi_median
"(1, 64)",ndwi_median_dry
"(23, 66)",nir_median
"(1, 67)",nir_median_contrast
"(8, 69)",nir_median_dry_contrast
"(56, 70)",nir_median_wet
"(50, 72)",osavi_median
"(39, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(30, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(32, 78)",red_median
"(55, 79)",red_median_contrast
"(12, 80)",red_median_dry
"(45, 81)",red_median_dry_contrast
"(46, 82)",red_median_wet
"(1, 83)",red_stdDev
"(24, 84)",ri_median
"(52, 85)",ri_median_dry
"(49, 86)",ri_median_wet
"(1, 87)",rvi_median
"(25, 88)",rvi_median_1
"(28, 89)",rvi_median_wet
"(14, 90)",shape_median
"(1, 91)",shape_median_dry
"(2, 92)",shape_median_wet
"(26, 93)",solpe
"(40, 94)",swir1_median
"(36, 95)",swir1_median_dry
"(11, 101)",swir2_stdDev
"(37, 102)",ui_median
"(1, 103)",ui_median_dry
