ranking,features
"(52, 0)",afvi_median
"(14, 1)",afvi_median_dry
"(1, 2)",afvi_median_wet
"(1, 4)",avi_median_dry
"(5, 7)",awei_median_dry
"(48, 9)",blue_median
"(1, 12)",blue_stdDev
"(51, 13)",brba_median
"(50, 14)",brba_median_dry
"(35, 17)",brightness_median_dry
"(25, 18)",brightness_median_wet
"(1, 22)",cvi_median
"(19, 23)",cvi_median_dry
"(1, 28)",evi_median
"(17, 29)",evi_median_dry
"(10, 30)",evi_median_wet
"(37, 32)",gcvi_median_dry
"(42, 35)",gemi_median_dry
"(39, 38)",gli_median_dry
"(29, 39)",gli_median_wet
"(9, 40)",green_median
"(6, 42)",green_median_wet
"(3, 43)",green_stdDev
"(4, 47)",hillshade
"(28, 49)",iia_median_dry
"(24, 50)",iia_median_wet
"(38, 53)",lswi_median_wet
"(27, 55)",mbi_median_dry
"(1, 56)",mbi_median_wet
"(12, 57)",nddi_median
"(1, 60)",ndvi_median
"(23, 61)",ndvi_median_dry
"(13, 62)",ndvi_median_wet
"(36, 64)",ndwi_median_dry
"(8, 65)",ndwi_median_wet
"(1, 67)",nir_median_contrast
"(33, 69)",nir_median_dry_contrast
"(1, 71)",nir_stdDev
"(46, 72)",osavi_median
"(7, 75)",ratio_median
"(22, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(34, 78)",red_median
"(1, 80)",red_median_dry
"(1, 81)",red_median_dry_contrast
"(43, 82)",red_median_wet
"(20, 83)",red_stdDev
"(45, 85)",ri_median_dry
"(40, 86)",ri_median_wet
"(1, 87)",rvi_median
"(30, 88)",rvi_median_1
"(47, 89)",rvi_median_wet
"(16, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(49, 93)",solpe
"(18, 94)",swir1_median
"(2, 95)",swir1_median_dry
"(1, 96)",swir1_median_wet
"(32, 97)",swir1_stdDev
"(26, 98)",swir2_median
"(31, 99)",swir2_median_dry
"(21, 100)",swir2_median_wet
"(44, 101)",swir2_stdDev
"(1, 102)",ui_median
"(15, 104)",ui_median_wet
"(11, 105)",wetness_median
"(1, 106)",wetness_median_dry
"(41, 107)",wetness_median_wet
