ranking,features
"(4, 1)",afvi_median_dry
"(45, 2)",afvi_median_wet
"(6, 3)",avi_median
"(1, 5)",avi_median_wet
"(37, 6)",awei_median
"(33, 7)",awei_median_dry
"(46, 8)",awei_median_wet
"(48, 11)",blue_median_wet
"(1, 12)",blue_stdDev
"(1, 14)",brba_median_dry
"(14, 15)",brba_median_wet
"(35, 18)",brightness_median_wet
"(13, 21)",bsi_median_2
"(15, 22)",cvi_median
"(44, 23)",cvi_median_dry
"(1, 24)",cvi_median_wet
"(1, 25)",dswi5_median
"(1, 27)",dswi5_median_wet
"(1, 28)",evi_median
"(1, 29)",evi_median_dry
"(17, 30)",evi_median_wet
"(21, 31)",gcvi_median
"(11, 32)",gcvi_median_dry
"(31, 34)",gemi_median
"(36, 35)",gemi_median_dry
"(27, 36)",gemi_median_wet
"(30, 38)",gli_median_dry
"(32, 39)",gli_median_wet
"(10, 42)",green_median_wet
"(43, 43)",green_stdDev
"(1, 44)",gvmi_median
"(20, 45)",gvmi_median_dry
"(42, 46)",gvmi_median_wet
"(8, 47)",hillshade
"(26, 48)",iia_median
"(18, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(1, 51)",lswi_median
"(24, 53)",lswi_median_wet
"(52, 55)",mbi_median_dry
"(34, 57)",nddi_median
"(41, 58)",nddi_median_dry
"(2, 62)",ndvi_median_wet
"(49, 63)",ndwi_median
"(25, 65)",ndwi_median_wet
"(19, 66)",nir_median
"(47, 67)",nir_median_contrast
"(39, 70)",nir_median_wet
"(9, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(38, 77)",ratio_median_wet
"(12, 79)",red_median_contrast
"(28, 83)",red_stdDev
"(1, 84)",ri_median
"(7, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(1, 89)",rvi_median_wet
"(50, 90)",shape_median
"(23, 91)",shape_median_dry
"(40, 92)",shape_median_wet
"(51, 93)",solpe
"(1, 94)",swir1_median
"(1, 96)",swir1_median_wet
"(3, 98)",swir2_median
"(16, 100)",swir2_median_wet
"(5, 104)",ui_median_wet
"(29, 105)",wetness_median
"(22, 107)",wetness_median_wet
