ranking,features
"(61, 0)",afvi_median
"(37, 2)",afvi_median_wet
"(1, 4)",avi_median_dry
"(56, 7)",awei_median_dry
"(32, 9)",blue_median
"(46, 12)",blue_stdDev
"(34, 13)",brba_median
"(49, 14)",brba_median_dry
"(60, 16)",brightness_median
"(2, 17)",brightness_median_dry
"(53, 21)",bsi_median_2
"(19, 22)",cvi_median
"(22, 23)",cvi_median_dry
"(29, 24)",cvi_median_wet
"(45, 25)",dswi5_median
"(28, 27)",dswi5_median_wet
"(31, 28)",evi_median
"(17, 29)",evi_median_dry
"(38, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(36, 32)",gcvi_median_dry
"(57, 33)",gcvi_median_wet
"(40, 34)",gemi_median
"(24, 35)",gemi_median_dry
"(14, 37)",gli_median
"(1, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(51, 41)",green_median_dry
"(39, 42)",green_median_wet
"(62, 43)",green_stdDev
"(59, 44)",gvmi_median
"(54, 45)",gvmi_median_dry
"(13, 46)",gvmi_median_wet
"(8, 47)",hillshade
"(1, 48)",iia_median
"(20, 49)",iia_median_dry
"(23, 50)",iia_median_wet
"(44, 51)",lswi_median
"(47, 53)",lswi_median_wet
"(1, 60)",ndvi_median
"(26, 61)",ndvi_median_dry
"(18, 62)",ndvi_median_wet
"(48, 63)",ndwi_median
"(25, 65)",ndwi_median_wet
"(11, 68)",nir_median_dry
"(21, 69)",nir_median_dry_contrast
"(4, 72)",osavi_median
"(52, 73)",osavi_median_dry
"(3, 74)",osavi_median_wet
"(12, 75)",ratio_median
"(10, 77)",ratio_median_wet
"(9, 80)",red_median_dry
"(5, 81)",red_median_dry_contrast
"(58, 82)",red_median_wet
"(30, 84)",ri_median
"(42, 85)",ri_median_dry
"(15, 86)",ri_median_wet
"(1, 87)",rvi_median
"(35, 88)",rvi_median_1
"(6, 89)",rvi_median_wet
"(27, 90)",shape_median
"(41, 91)",shape_median_dry
"(7, 92)",shape_median_wet
"(16, 99)",swir2_median_dry
"(43, 102)",ui_median
"(50, 104)",ui_median_wet
"(55, 105)",wetness_median
"(33, 106)",wetness_median_dry
