ranking,features
"(29, 2)",afvi_median_wet
"(40, 3)",avi_median
"(26, 4)",avi_median_dry
"(11, 5)",avi_median_wet
"(1, 6)",awei_median
"(24, 7)",awei_median_dry
"(46, 8)",awei_median_wet
"(25, 9)",blue_median
"(48, 11)",blue_median_wet
"(2, 16)",brightness_median
"(62, 21)",bsi_median_2
"(37, 22)",cvi_median
"(44, 24)",cvi_median_wet
"(12, 26)",dswi5_median_dry
"(15, 27)",dswi5_median_wet
"(20, 28)",evi_median
"(42, 29)",evi_median_dry
"(49, 30)",evi_median_wet
"(39, 31)",gcvi_median
"(3, 32)",gcvi_median_dry
"(4, 33)",gcvi_median_wet
"(57, 34)",gemi_median
"(23, 35)",gemi_median_dry
"(41, 36)",gemi_median_wet
"(6, 37)",gli_median
"(21, 39)",gli_median_wet
"(32, 40)",green_median
"(1, 41)",green_median_dry
"(59, 44)",gvmi_median
"(10, 45)",gvmi_median_dry
"(7, 46)",gvmi_median_wet
"(5, 47)",hillshade
"(13, 48)",iia_median
"(27, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(45, 53)",lswi_median_wet
"(55, 56)",mbi_median_wet
"(60, 60)",ndvi_median
"(1, 62)",ndvi_median_wet
"(54, 65)",ndwi_median_wet
"(33, 66)",nir_median
"(58, 67)",nir_median_contrast
"(31, 68)",nir_median_dry
"(36, 69)",nir_median_dry_contrast
"(28, 72)",osavi_median
"(35, 74)",osavi_median_wet
"(38, 77)",ratio_median_wet
"(16, 78)",red_median
"(22, 80)",red_median_dry
"(56, 81)",red_median_dry_contrast
"(52, 82)",red_median_wet
"(51, 83)",red_stdDev
"(17, 84)",ri_median
"(50, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(14, 89)",rvi_median_wet
"(1, 90)",shape_median
"(19, 91)",shape_median_dry
"(47, 92)",shape_median_wet
"(9, 93)",solpe
"(1, 95)",swir1_median_dry
"(61, 96)",swir1_median_wet
"(43, 97)",swir1_stdDev
"(53, 98)",swir2_median
"(34, 100)",swir2_median_wet
"(30, 101)",swir2_stdDev
"(8, 106)",wetness_median_dry
"(18, 107)",wetness_median_wet
