ranking,features
"(11, 1)",afvi_median_dry
"(54, 2)",afvi_median_wet
"(1, 4)",avi_median_dry
"(40, 6)",awei_median
"(59, 7)",awei_median_dry
"(24, 8)",awei_median_wet
"(15, 9)",blue_median
"(38, 10)",blue_median_dry
"(1, 12)",blue_stdDev
"(18, 13)",brba_median
"(17, 14)",brba_median_dry
"(56, 15)",brba_median_wet
"(48, 16)",brightness_median
"(12, 17)",brightness_median_dry
"(58, 18)",brightness_median_wet
"(32, 19)",bsi_median
"(44, 21)",bsi_median_2
"(41, 22)",cvi_median
"(60, 23)",cvi_median_dry
"(20, 27)",dswi5_median_wet
"(35, 29)",evi_median_dry
"(30, 30)",evi_median_wet
"(19, 32)",gcvi_median_dry
"(10, 33)",gcvi_median_wet
"(1, 35)",gemi_median_dry
"(45, 37)",gli_median
"(23, 38)",gli_median_dry
"(50, 39)",gli_median_wet
"(34, 40)",green_median
"(3, 43)",green_stdDev
"(26, 45)",gvmi_median_dry
"(1, 46)",gvmi_median_wet
"(25, 52)",lswi_median_dry
"(1, 53)",lswi_median_wet
"(46, 56)",mbi_median_wet
"(21, 57)",nddi_median
"(6, 58)",nddi_median_dry
"(37, 60)",ndvi_median
"(4, 62)",ndvi_median_wet
"(22, 64)",ndwi_median_dry
"(7, 65)",ndwi_median_wet
"(57, 66)",nir_median
"(61, 67)",nir_median_contrast
"(8, 68)",nir_median_dry
"(31, 69)",nir_median_dry_contrast
"(47, 71)",nir_stdDev
"(51, 75)",ratio_median
"(2, 77)",ratio_median_wet
"(1, 78)",red_median
"(28, 81)",red_median_dry_contrast
"(1, 83)",red_stdDev
"(14, 84)",ri_median
"(39, 85)",ri_median_dry
"(55, 86)",ri_median_wet
"(16, 87)",rvi_median
"(53, 89)",rvi_median_wet
"(33, 91)",shape_median_dry
"(43, 92)",shape_median_wet
"(36, 94)",swir1_median
"(9, 95)",swir1_median_dry
"(27, 96)",swir1_median_wet
"(49, 98)",swir2_median
"(13, 99)",swir2_median_dry
"(52, 102)",ui_median
"(42, 103)",ui_median_dry
"(29, 104)",ui_median_wet
"(1, 105)",wetness_median
"(5, 106)",wetness_median_dry
