ranking,features
"(1, 4)",avi_median_dry
"(53, 5)",avi_median_wet
"(44, 6)",awei_median
"(12, 9)",blue_median
"(54, 10)",blue_median_dry
"(37, 12)",blue_stdDev
"(51, 13)",brba_median
"(49, 14)",brba_median_dry
"(1, 17)",brightness_median_dry
"(48, 21)",bsi_median_2
"(47, 22)",cvi_median
"(22, 23)",cvi_median_dry
"(14, 24)",cvi_median_wet
"(23, 25)",dswi5_median
"(18, 28)",evi_median
"(41, 29)",evi_median_dry
"(30, 30)",evi_median_wet
"(13, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(28, 33)",gcvi_median_wet
"(25, 34)",gemi_median
"(39, 35)",gemi_median_dry
"(58, 36)",gemi_median_wet
"(34, 37)",gli_median
"(4, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(43, 40)",green_median
"(56, 42)",green_median_wet
"(50, 43)",green_stdDev
"(55, 44)",gvmi_median
"(59, 45)",gvmi_median_dry
"(27, 46)",gvmi_median_wet
"(1, 47)",hillshade
"(9, 48)",iia_median
"(20, 49)",iia_median_dry
"(5, 50)",iia_median_wet
"(36, 53)",lswi_median_wet
"(1, 60)",ndvi_median
"(19, 61)",ndvi_median_dry
"(33, 62)",ndvi_median_wet
"(40, 63)",ndwi_median
"(62, 65)",ndwi_median_wet
"(61, 66)",nir_median
"(8, 68)",nir_median_dry
"(52, 69)",nir_median_dry_contrast
"(60, 70)",nir_median_wet
"(2, 72)",osavi_median
"(1, 74)",osavi_median_wet
"(7, 75)",ratio_median
"(29, 76)",ratio_median_dry
"(45, 77)",ratio_median_wet
"(31, 80)",red_median_dry
"(10, 81)",red_median_dry_contrast
"(17, 83)",red_stdDev
"(3, 84)",ri_median
"(16, 85)",ri_median_dry
"(24, 86)",ri_median_wet
"(26, 87)",rvi_median
"(57, 88)",rvi_median_1
"(35, 89)",rvi_median_wet
"(15, 90)",shape_median
"(21, 91)",shape_median_dry
"(6, 92)",shape_median_wet
"(32, 93)",solpe
"(46, 94)",swir1_median
"(11, 102)",ui_median
"(42, 104)",ui_median_wet
"(38, 106)",wetness_median_dry
