ranking,features
"(50, 0)",afvi_median
"(5, 1)",afvi_median_dry
"(27, 3)",avi_median
"(53, 6)",awei_median
"(52, 7)",awei_median_dry
"(58, 9)",blue_median
"(36, 11)",blue_median_wet
"(8, 13)",brba_median
"(16, 15)",brba_median_wet
"(43, 16)",brightness_median
"(57, 22)",cvi_median
"(1, 23)",cvi_median_dry
"(6, 24)",cvi_median_wet
"(56, 25)",dswi5_median
"(55, 27)",dswi5_median_wet
"(42, 30)",evi_median_wet
"(41, 32)",gcvi_median_dry
"(54, 35)",gemi_median_dry
"(48, 36)",gemi_median_wet
"(30, 37)",gli_median
"(7, 38)",gli_median_dry
"(4, 39)",gli_median_wet
"(9, 40)",green_median
"(22, 41)",green_median_dry
"(20, 42)",green_median_wet
"(19, 43)",green_stdDev
"(62, 45)",gvmi_median_dry
"(14, 46)",gvmi_median_wet
"(26, 47)",hillshade
"(35, 48)",iia_median
"(51, 49)",iia_median_dry
"(39, 50)",iia_median_wet
"(34, 53)",lswi_median_wet
"(46, 56)",mbi_median_wet
"(45, 57)",nddi_median
"(38, 58)",nddi_median_dry
"(23, 59)",nddi_median_wet
"(1, 60)",ndvi_median
"(61, 61)",ndvi_median_dry
"(12, 62)",ndvi_median_wet
"(3, 64)",ndwi_median_dry
"(59, 66)",nir_median
"(18, 67)",nir_median_contrast
"(60, 68)",nir_median_dry
"(17, 69)",nir_median_dry_contrast
"(40, 72)",osavi_median
"(37, 73)",osavi_median_dry
"(2, 74)",osavi_median_wet
"(1, 75)",ratio_median
"(31, 76)",ratio_median_dry
"(25, 77)",ratio_median_wet
"(11, 78)",red_median
"(21, 80)",red_median_dry
"(33, 81)",red_median_dry_contrast
"(29, 82)",red_median_wet
"(1, 83)",red_stdDev
"(24, 84)",ri_median
"(15, 85)",ri_median_dry
"(28, 87)",rvi_median
"(32, 88)",rvi_median_1
"(10, 89)",rvi_median_wet
"(1, 91)",shape_median_dry
"(1, 92)",shape_median_wet
"(13, 93)",solpe
"(47, 96)",swir1_median_wet
"(49, 101)",swir2_stdDev
"(1, 103)",ui_median_dry
"(44, 107)",wetness_median_wet
