ranking,features
"(7, 2)",afvi_median_wet
"(53, 5)",avi_median_wet
"(28, 6)",awei_median
"(10, 7)",awei_median_dry
"(2, 8)",awei_median_wet
"(11, 9)",blue_median
"(50, 11)",blue_median_wet
"(8, 12)",blue_stdDev
"(33, 16)",brightness_median
"(1, 17)",brightness_median_dry
"(60, 19)",bsi_median
"(43, 22)",cvi_median
"(30, 24)",cvi_median_wet
"(4, 25)",dswi5_median
"(21, 26)",dswi5_median_dry
"(61, 29)",evi_median_dry
"(15, 30)",evi_median_wet
"(26, 31)",gcvi_median
"(44, 32)",gcvi_median_dry
"(49, 33)",gcvi_median_wet
"(29, 35)",gemi_median_dry
"(20, 36)",gemi_median_wet
"(46, 37)",gli_median
"(31, 38)",gli_median_dry
"(45, 42)",green_median_wet
"(19, 44)",gvmi_median
"(16, 46)",gvmi_median_wet
"(48, 48)",iia_median
"(18, 49)",iia_median_dry
"(42, 51)",lswi_median
"(56, 58)",nddi_median_dry
"(55, 59)",nddi_median_wet
"(47, 60)",ndvi_median
"(24, 61)",ndvi_median_dry
"(54, 62)",ndvi_median_wet
"(39, 64)",ndwi_median_dry
"(40, 65)",ndwi_median_wet
"(52, 66)",nir_median
"(14, 68)",nir_median_dry
"(58, 69)",nir_median_dry_contrast
"(59, 70)",nir_median_wet
"(23, 72)",osavi_median
"(1, 73)",osavi_median_dry
"(6, 74)",osavi_median_wet
"(22, 75)",ratio_median
"(3, 76)",ratio_median_dry
"(1, 77)",ratio_median_wet
"(1, 78)",red_median
"(9, 80)",red_median_dry
"(27, 81)",red_median_dry_contrast
"(17, 82)",red_median_wet
"(57, 84)",ri_median
"(51, 85)",ri_median_dry
"(34, 86)",ri_median_wet
"(36, 87)",rvi_median
"(5, 88)",rvi_median_1
"(1, 89)",rvi_median_wet
"(35, 92)",shape_median_wet
"(1, 94)",swir1_median
"(12, 95)",swir1_median_dry
"(38, 96)",swir1_median_wet
"(25, 98)",swir2_median
"(41, 99)",swir2_median_dry
"(1, 100)",swir2_median_wet
"(37, 103)",ui_median_dry
"(32, 104)",ui_median_wet
"(13, 105)",wetness_median
"(62, 107)",wetness_median_wet
