ranking,features
"(1, 0)",afvi_median
"(22, 2)",afvi_median_wet
"(50, 5)",avi_median_wet
"(1, 6)",awei_median
"(19, 9)",blue_median
"(12, 10)",blue_median_dry
"(24, 11)",blue_median_wet
"(1, 12)",blue_stdDev
"(31, 13)",brba_median
"(1, 17)",brightness_median_dry
"(46, 18)",brightness_median_wet
"(41, 19)",bsi_median
"(52, 22)",cvi_median
"(11, 24)",cvi_median_wet
"(23, 26)",dswi5_median_dry
"(39, 27)",dswi5_median_wet
"(51, 29)",evi_median_dry
"(10, 31)",gcvi_median
"(1, 32)",gcvi_median_dry
"(18, 33)",gcvi_median_wet
"(13, 35)",gemi_median_dry
"(56, 36)",gemi_median_wet
"(6, 37)",gli_median
"(15, 38)",gli_median_dry
"(36, 40)",green_median
"(25, 41)",green_median_dry
"(29, 42)",green_median_wet
"(3, 44)",gvmi_median
"(35, 45)",gvmi_median_dry
"(60, 46)",gvmi_median_wet
"(62, 47)",hillshade
"(2, 48)",iia_median
"(26, 49)",iia_median_dry
"(49, 50)",iia_median_wet
"(38, 51)",lswi_median
"(40, 54)",mbi_median
"(17, 60)",ndvi_median
"(32, 63)",ndwi_median
"(44, 64)",ndwi_median_dry
"(53, 65)",ndwi_median_wet
"(47, 68)",nir_median_dry
"(45, 72)",osavi_median
"(28, 75)",ratio_median
"(57, 77)",ratio_median_wet
"(1, 78)",red_median
"(7, 80)",red_median_dry
"(42, 83)",red_stdDev
"(5, 84)",ri_median
"(4, 85)",ri_median_dry
"(16, 86)",ri_median_wet
"(59, 88)",rvi_median_1
"(55, 89)",rvi_median_wet
"(1, 90)",shape_median
"(33, 91)",shape_median_dry
"(54, 92)",shape_median_wet
"(14, 93)",solpe
"(27, 94)",swir1_median
"(21, 95)",swir1_median_dry
"(34, 97)",swir1_stdDev
"(37, 98)",swir2_median
"(43, 99)",swir2_median_dry
"(58, 100)",swir2_median_wet
"(61, 101)",swir2_stdDev
"(8, 102)",ui_median
"(48, 103)",ui_median_dry
"(20, 104)",ui_median_wet
"(9, 105)",wetness_median
"(30, 106)",wetness_median_dry
