ranking,features
"(21, 0)",afvi_median
"(61, 2)",afvi_median_wet
"(53, 4)",avi_median_dry
"(28, 5)",avi_median_wet
"(49, 6)",awei_median
"(55, 12)",blue_stdDev
"(1, 14)",brba_median_dry
"(56, 15)",brba_median_wet
"(23, 16)",brightness_median
"(25, 17)",brightness_median_dry
"(44, 18)",brightness_median_wet
"(45, 24)",cvi_median_wet
"(1, 29)",evi_median_dry
"(2, 30)",evi_median_wet
"(19, 31)",gcvi_median
"(22, 32)",gcvi_median_dry
"(41, 33)",gcvi_median_wet
"(4, 35)",gemi_median_dry
"(32, 37)",gli_median
"(13, 39)",gli_median_wet
"(29, 40)",green_median
"(48, 41)",green_median_dry
"(20, 42)",green_median_wet
"(57, 43)",green_stdDev
"(35, 45)",gvmi_median_dry
"(36, 46)",gvmi_median_wet
"(51, 47)",hillshade
"(24, 48)",iia_median
"(9, 49)",iia_median_dry
"(58, 53)",lswi_median_wet
"(60, 57)",nddi_median
"(14, 58)",nddi_median_dry
"(50, 61)",ndvi_median_dry
"(47, 63)",ndwi_median
"(37, 64)",ndwi_median_dry
"(52, 65)",ndwi_median_wet
"(17, 67)",nir_median_contrast
"(15, 68)",nir_median_dry
"(11, 69)",nir_median_dry_contrast
"(43, 70)",nir_median_wet
"(54, 71)",nir_stdDev
"(26, 73)",osavi_median_dry
"(1, 74)",osavi_median_wet
"(62, 75)",ratio_median
"(8, 76)",ratio_median_dry
"(39, 77)",ratio_median_wet
"(1, 79)",red_median_contrast
"(5, 80)",red_median_dry
"(42, 81)",red_median_dry_contrast
"(3, 82)",red_median_wet
"(10, 83)",red_stdDev
"(59, 84)",ri_median
"(1, 85)",ri_median_dry
"(12, 86)",ri_median_wet
"(1, 88)",rvi_median_1
"(16, 90)",shape_median
"(1, 92)",shape_median_wet
"(40, 94)",swir1_median
"(38, 95)",swir1_median_dry
"(27, 96)",swir1_median_wet
"(30, 97)",swir1_stdDev
"(46, 100)",swir2_median_wet
"(18, 102)",ui_median
"(34, 103)",ui_median_dry
"(31, 104)",ui_median_wet
"(6, 105)",wetness_median
"(33, 106)",wetness_median_dry
"(7, 107)",wetness_median_wet
