ranking,features
"(13, 0)",afvi_median
"(14, 2)",afvi_median_wet
"(3, 3)",avi_median
"(16, 4)",avi_median_dry
"(57, 5)",avi_median_wet
"(46, 6)",awei_median
"(9, 8)",awei_median_wet
"(31, 15)",brba_median_wet
"(41, 16)",brightness_median
"(59, 17)",brightness_median_dry
"(30, 18)",brightness_median_wet
"(23, 19)",bsi_median
"(17, 20)",bsi_median_1
"(43, 21)",bsi_median_2
"(8, 25)",dswi5_median
"(45, 26)",dswi5_median_dry
"(38, 27)",dswi5_median_wet
"(44, 28)",evi_median
"(20, 29)",evi_median_dry
"(60, 30)",evi_median_wet
"(36, 31)",gcvi_median
"(22, 33)",gcvi_median_wet
"(1, 34)",gemi_median
"(19, 35)",gemi_median_dry
"(1, 36)",gemi_median_wet
"(39, 37)",gli_median
"(54, 42)",green_median_wet
"(1, 44)",gvmi_median
"(26, 46)",gvmi_median_wet
"(51, 47)",hillshade
"(25, 48)",iia_median
"(42, 49)",iia_median_dry
"(5, 50)",iia_median_wet
"(18, 51)",lswi_median
"(55, 52)",lswi_median_dry
"(2, 53)",lswi_median_wet
"(28, 54)",mbi_median
"(37, 56)",mbi_median_wet
"(50, 57)",nddi_median
"(53, 58)",nddi_median_dry
"(61, 60)",ndvi_median
"(40, 61)",ndvi_median_dry
"(48, 62)",ndvi_median_wet
"(27, 63)",ndwi_median
"(32, 65)",ndwi_median_wet
"(10, 66)",nir_median
"(11, 68)",nir_median_dry
"(29, 70)",nir_median_wet
"(56, 71)",nir_stdDev
"(6, 73)",osavi_median_dry
"(47, 74)",osavi_median_wet
"(52, 76)",ratio_median_dry
"(58, 77)",ratio_median_wet
"(21, 78)",red_median
"(34, 80)",red_median_dry
"(49, 82)",red_median_wet
"(33, 84)",ri_median
"(24, 86)",ri_median_wet
"(4, 89)",rvi_median_wet
"(7, 90)",shape_median
"(62, 91)",shape_median_dry
"(1, 93)",solpe
"(1, 96)",swir1_median_wet
"(12, 100)",swir2_median_wet
"(1, 102)",ui_median
"(15, 104)",ui_median_wet
"(35, 106)",wetness_median_dry
"(1, 107)",wetness_median_wet
